RG	RawReads	ReadsL35	FinalNoPCRDups	AvrgTimesSeen	FinalReads	EukaTaxa	Order	Family
simadna_md_1000.fq	4999212	4999212	3416403	 1.5	1655	Canidae	Carnivora	Canidae
simadna_md_1000.fq	4999212	4999212	3416403	 1.5	1657	Mustelidae	Carnivora	Mustelidae
simadna_md_1000.fq	4999212	4999212	3416403	 1.5	2070	Otariidae	Carnivora	Otariidae
simadna_md_1000.fq	4999212	4999212	3416403	 1.5	22773	Felidae	Carnivora	Felidae
simadna_md_1000.fq	4999212	4999212	3416403	 1.5	2326	Eulipotyphla	Eulipotyphla	null
simadna_md_1000.fq	4999212	4999212	3416403	 1.5	243310	Carnivora	Carnivora	null
simadna_md_1000.fq	4999212	4999212	3416403	 1.5	279	Cephalophus	Artiodactyla	Bovidae
simadna_md_1000.fq	4999212	4999212	3416403	 1.5	38235	Homininae	Primates	Hominidae
simadna_md_1000.fq	4999212	4999212	3416403	 1.5	459265	Suina	Artiodactyla	null
simadna_md_1000.fq	4999212	4999212	3416403	 1.5	477	Phyllostomidae	Chiroptera	Phyllostomidae
simadna_md_1000.fq	4999212	4999212	3416403	 1.5	489	Rhinolophus	Chiroptera	Rhinolophidae
simadna_md_1000.fq	4999212	4999212	3416403	 1.5	496	Cetacea	Artiodactyla	null
simadna_md_1000.fq	4999212	4999212	3416403	 1.5	549	Callosciurinae	Rodentia	Sciuridae
simadna_md_1000.fq	4999212	4999212	3416403	 1.5	668	Muridae	Rodentia	Muridae
simadna_md_1000.fq	4999212	4999212	3416403	 1.5	766683	Bovidae	Artiodactyla	Bovidae
simadna_md_1000.fq	4999212	4999212	3416403	 1.5	849	Odontoceti	Artiodactyla	null
simadna_md_1000.fq	4999212	4999212	3416403	 1.5	856	Phocidae	Carnivora	Phocidae
