This table contains all individual libraries processed,,,,,,,,,,,,,,,,,"Support for different branches based on sequences covering diagnostic positions. Each shows percent support calculted by the number of sequences covering diagnostic positions supporting the relative branch over the total sequences covering diagnostic positions. Significant assignments (lower 95% binomial confidence >10% support) indicated with ""**"". Note that internal branches were not considered for assignment to a lineage. ",,,,,,,,,,,,,
Lines with the same Index Library ID are due to multiple sequencing runs of the same library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All deamination rates were computed by looking at C->T substitutions on the three terminal positions of the 5' and 3' ends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field sample ID,MPI-EVA Sample ID,Sub-sample/ Lysate ID,Indexed Library ID,Raw Sequences,Sequences ≥ 35 bp,"Mapped Sequences (≥ 35 bp, mapping quality ≥ 25)","Unique mapped sequences (≥ 35 bp, mapping quality ≥ 25)",% of sequences identified as hominin,Unique hominin sequences,Duplication rate,5' C->T substitutions [%],3' C->T substitutions [%],5' C->T substitutions [%] (95% binomial confidence intervals),3' C->T substitutions [%] (95% binomial confidence intervals),Ancient hominin mtDNA present, Number of deaminated sequences,Modern human support (all sequences),Modern human support (deaminated sequences only),Neanderthal-Hohlenstein-Stadel shared branch support (all sequences),Neanderthal-Hohlenstein-Stadel shared branch support (deaminated sequences only),Neanderthal support (all sequences),Neanderthal support (deaminated sequences only),Hohlenstein-Stadel support (all sequences),Hohlenstein-Stadel support (deaminated sequences only),Denisovan support (all sequences),Denisovan support (deaminated sequences only),Sima de los Huesos support (all sequences),Sima de los Huesos support (deaminated sequences only),Denisovan-Sima de los Huesos shared branch support (all sequences),Denisovan-Sima de los Huesos shared branch support (deaminated sequences only)
S54 ,SP7178,Lys2677,M5673,1596362,910361,358892,21875,43.9,1094,3.5,2.3,0.7,0.6-5.7,0.1-2.4,No,13,**98.6% (136 / 138),50.0% (1 / 2),1.1% (1 / 95),0.0% (0 / 1),1.4% (1 / 73),NA% (0 / 0),0.0% (0 / 114),0.0% (0 / 3),0.0% (0 / 234),0.0% (0 / 4),0.0% (0 / 161),0.0% (0 / 4),0.0% (0 / 254),0.0% (0 / 2)
S53 ,SP7177,Lys2676,A27209,2170097,1687612,433002,24989,10.4,271,3.94,40.7,12.9,28.1-54.3,5.7-23.9,No,56,**37.5% (6 / 16),0.0% (0 / 1),**55.6% (10 / 18),NA% (0 / 0),**45.5% (5 / 11),100.0% (2 / 2),0.0% (0 / 18),0.0% (0 / 3),5.4% (3 / 56),10.0% (1 / 10),0.0% (0 / 42),0.0% (0 / 6),4.8% (3 / 62),0.0% (0 / 9)
S53 ,SP7177,Lys2676,M5672,1080063,734224,269232,28358,13.46,480,2.06,25.7,10.5,17.7-35.2,6.0-16.7,No,59,**75.0% (18 / 24),0.0% (0 / 1),**37.8% (14 / 37),**60.0% (3 / 5),**40.9% (9 / 22),100.0% (2 / 2),0.0% (0 / 42),0.0% (0 / 1),0.0% (0 / 95),0.0% (0 / 15),1.8% (1 / 57),0.0% (0 / 9),4.3% (5 / 117),25.0% (4 / 16)
S52 ,SP7176,Lys2675,M5671,1104406,591388,134591,4829,97.07,3381,29.4,1.2,1.4,0.5-2.4,0.7-2.3,No,36,**98.9% (354 / 358),66.7% (2 / 3),0.0% (0 / 423),0.0% (0 / 4),0.0% (0 / 248),0.0% (0 / 2),0.2% (1 / 494),25.0% (1 / 4),0.0% (0 / 851),0.0% (0 / 8),0.2% (1 / 503),0.0% (0 / 1),0.3% (3 / 906),0.0% (0 / 9)
S51 ,SP7175,Lys2673,M5665,1438099,916902,332878,26853,24.35,883,NA,11,3.3,6.6-16.8,1.4-6.3,No,44,**92.1% (70 / 76),0.0% (0 / 3),1.1% (1 / 93),0.0% (0 / 1),0.0% (0 / 68),0.0% (0 / 1),0.9% (1 / 115),0.0% (0 / 1),8.8% (14 / 160),28.6% (2 / 7),0.8% (1 / 128),0.0% (0 / 2),9.2% (19 / 206),33.3% (2 / 6)
S50 ,SP7174,Lys2672,M5664,1309035,681134,266080,15103,59.72,1496,NA,2.5,0.7,0.9-5.4,0.1-2.1,No,15,**100.0% (145 / 145),NA% (0 / 0),0.0% (0 / 177),0.0% (0 / 2),0.0% (0 / 84),0.0% (0 / 3),0.0% (0 / 207),0.0% (0 / 2),0.0% (0 / 339),0.0% (0 / 2),0.0% (0 / 209),0.0% (0 / 1),0.3% (1 / 361),0.0% (0 / 3)
S49 ,SP7173,Lys2671,M5663,1121641,531365,267891,9376,93.7,3732,32.67,1,0.3,0.4-2.0,0.1-0.9,No,38,**99.7% (356 / 357),100.0% (1 / 1),0.0% (0 / 382),0.0% (0 / 11),0.0% (0 / 246),0.0% (0 / 3),0.0% (0 / 494),0.0% (0 / 1),0.1% (1 / 809),0.0% (0 / 8),0.0% (0 / 510),0.0% (0 / 4),0.2% (2 / 867),12.5% (1 / 8)
S48 ,SP7172,Lys2670,M5662,1390106,821685,301342,21102,43.1,1478,5.65,5.3,1.6,2.8-8.9,0.7-3.3,No,27,**98.1% (159 / 162),50.0% (1 / 2),0.0% (0 / 173),0.0% (0 / 1),0.0% (0 / 106),0.0% (0 / 1),0.0% (0 / 178),0.0% (0 / 2),2.8% (9 / 319),**57.1% (4 / 7),0.0% (0 / 242),0.0% (0 / 4),2.8% (11 / 389),25.0% (1 / 4)
S47 ,SP7171,Lys2669,M5661,1224341,817408,301772,28367,10.93,379,2.01,2.8,2.4,0.3-9.7,0.5-6.9,No,9,**100.0% (34 / 34),NA% (0 / 0),0.0% (0 / 28),0.0% (0 / 1),0.0% (0 / 24),NA% (0 / 0),0.0% (0 / 52),0.0% (0 / 1),3.4% (3 / 87),100.0% (1 / 1),0.0% (0 / 66),0.0% (0 / 2),2.3% (2 / 86),NA% (0 / 0)
S46 ,SP7170,Lys2668,M5660,1141770,612834,124401,3433,98.05,2415,38.21,2.5,0.3,1.3-4.5,0.0-1.0,No,27,**100.0% (320 / 320),**100.0% (4 / 4),0.3% (1 / 289),0.0% (0 / 7),0.0% (0 / 154),0.0% (0 / 4),0.0% (0 / 403),0.0% (0 / 3),0.2% (1 / 552),0.0% (0 / 8),0.5% (2 / 375),0.0% (0 / 2),0.0% (0 / 664),0.0% (0 / 5)
S45 ,SP7169,Lys2667,M5659,1198741,851450,289296,28692,8.59,277,1.99,8.5,3.7,2.8-18.7,0.8-10.3,No,12,**94.4% (17 / 18),NA% (0 / 0),0.0% (0 / 31),NA% (0 / 0),5.0% (1 / 20),100.0% (1 / 1),0.0% (0 / 35),NA% (0 / 0),0.0% (0 / 59),NA% (0 / 0),0.0% (0 / 40),NA% (0 / 0),4.5% (3 / 66),66.7% (2 / 3)
S44 ,SP7168,Lys2666,M5658,1308408,816098,289900,20061,34.58,925,6.61,0.6,0.4,0.0-3.5,0.0-2.1,No,10,**98.2% (111 / 113),100.0% (1 / 1),0.0% (0 / 95),NA% (0 / 0),0.0% (0 / 45),0.0% (0 / 1),0.0% (0 / 113),NA% (0 / 0),0.0% (0 / 215),NA% (0 / 0),0.8% (1 / 130),0.0% (0 / 2),0.0% (0 / 225),0.0% (0 / 1)
S43 ,SP7167,Lys2665,M5657,1281518,718990,256788,2970,100,2662,87.1,0.7,0.1,0.1-2.1,0.0-0.8,No,10,**100.0% (211 / 211),100.0% (1 / 1),0.0% (0 / 352),0.0% (0 / 4),0.0% (0 / 248),0.0% (0 / 2),0.0% (0 / 444),0.0% (0 / 2),0.5% (3 / 597),0.0% (0 / 3),0.0% (0 / 412),0.0% (0 / 4),0.2% (1 / 624),50.0% (1 / 2)
S42 ,SP7166,Lys2664,M5656,1164039,658252,187513,4515,99.19,3439,41.27,1.6,0.1,0.8-3.0,0.0-0.6,No,25,**100.0% (388 / 388),**100.0% (4 / 4),0.0% (0 / 423),0.0% (0 / 5),0.0% (0 / 258),0.0% (0 / 3),0.3% (1 / 388),0.0% (0 / 4),0.0% (0 / 768),0.0% (0 / 4),0.0% (0 / 493),0.0% (0 / 3),0.1% (1 / 883),0.0% (0 / 7)
S41 ,SP7165,Lys2663,M5655,1222323,802716,285791,26288,43.42,1674,3.73,1.4,0,0.4-3.5,0.0-0.7,No,18,**100.0% (143 / 143),100.0% (1 / 1),0.6% (1 / 169),0.0% (0 / 4),0.0% (0 / 114),0.0% (0 / 1),0.0% (0 / 206),0.0% (0 / 1),0.3% (1 / 355),0.0% (0 / 5),0.0% (0 / 248),0.0% (0 / 1),0.0% (0 / 396),0.0% (0 / 2)
S40 ,SP7164,Lys2662,M5654,1228043,720195,272448,9177,100,8246,29.14,1.3,0.2,0.8-2.0,0.1-0.5,No,51,**100.0% (890 / 890),**100.0% (4 / 4),0.0% (0 / 840),0.0% (0 / 11),0.0% (0 / 533),0.0% (0 / 2),0.1% (1 / 1008),0.0% (0 / 6),0.1% (1 / 1896),0.0% (0 / 22),0.0% (0 / 1253),0.0% (0 / 6),0.0% (0 / 2261),0.0% (0 / 11)
S39 ,SP7163,Lys2661,M5653,1268003,687815,163655,2344,99.81,2131,69.5,1.3,0,0.5-2.9,0.0-0.5,No,16,**100.0% (258 / 258),NA% (0 / 0),0.0% (0 / 231),0.0% (0 / 1),0.0% (0 / 143),0.0% (0 / 1),0.0% (0 / 368),0.0% (0 / 2),0.0% (0 / 556),0.0% (0 / 4),0.0% (0 / 285),0.0% (0 / 1),0.2% (1 / 621),0.0% (0 / 3)
S38 ,SP7162,Lys2660,M5652,1205746,778630,257519,26185,34.86,1458,4.01,2.4,0.9,0.9-5.1,0.3-2.3,No,21,**98.2% (161 / 164),50.0% (1 / 2),0.0% (0 / 169),NA% (0 / 0),1.0% (1 / 104),NA% (0 / 0),0.0% (0 / 177),NA% (0 / 0),1.3% (4 / 307),0.0% (0 / 4),0.0% (0 / 207),0.0% (0 / 3),2.6% (10 / 382),16.7% (1 / 6)
S37 ,SP7161,Lys2658,M5650,1139332,763973,260024,23825,16.05,454,3.57,2.3,1.5,0.3-8.1,0.2-5.2,No,14,**96.1% (49 / 51),0.0% (0 / 1),0.0% (0 / 50),NA% (0 / 0),0.0% (0 / 21),NA% (0 / 0),0.0% (0 / 53),0.0% (0 / 1),1.1% (1 / 91),33.3% (1 / 3),0.0% (0 / 62),0.0% (0 / 1),1.8% (2 / 113),0.0% (0 / 6)
S36 ,SP7160,Lys2657,A27208,1547520,1213440,317756,19029,13.2,236,5.64,27.7,14.8,17.3-40.2,7.0-26.2,No,45,**53.8% (7 / 13),0.0% (0 / 3),11.1% (2 / 18),0.0% (0 / 1),0.0% (0 / 5),0.0% (0 / 2),0.0% (0 / 24),0.0% (0 / 1),**36.7% (18 / 49),**71.4% (5 / 7),6.1% (2 / 33),8.3% (1 / 12),**40.4% (21 / 52),**58.3% (7 / 12)
S36 ,SP7160,Lys2657,M5649,1473510,989930,364428,29516,35.21,1660,3.22,12.3,4.8,9.0-16.3,3.0-7.2,No,91,**84.1% (132 / 157),0.0% (0 / 8),3.9% (6 / 154),14.3% (1 / 7),6.2% (6 / 97),40.0% (2 / 5),0.7% (1 / 143),0.0% (0 / 6),8.2% (26 / 317),**62.5% (10 / 16),0.0% (0 / 235),0.0% (0 / 11),9.5% (34 / 357),**64.3% (9 / 14)
S35 ,SP7159,Lys2656,M5648,1238205,644822,210258,1309,100,1146,150.22,3.4,2.6,1.5-6.5,1.3-4.7,No,23,**100.0% (180 / 180),**100.0% (3 / 3),0.0% (0 / 95),0.0% (0 / 1),0.0% (0 / 63),0.0% (0 / 1),0.0% (0 / 189),0.0% (0 / 8),0.0% (0 / 257),0.0% (0 / 2),0.0% (0 / 129),0.0% (0 / 3),0.4% (1 / 275),0.0% (0 / 7)
S34 ,SP7158,Lys2655,M5642,1044753,558915,155675,1924,99.7,1665,80.78,0.9,0.4,0.2-2.5,0.0-1.4,No,14,**100.0% (196 / 196),NA% (0 / 0),0.0% (0 / 126),0.0% (0 / 1),0.0% (0 / 96),0.0% (0 / 1),0.0% (0 / 261),NA% (0 / 0),0.2% (1 / 402),25.0% (1 / 4),0.0% (0 / 220),0.0% (0 / 1),0.0% (0 / 387),0.0% (0 / 1)
S33 ,SP7157,Lys2654,M5641,1026027,541136,127518,1918,87.22,587,188.31,1.4,1.2,0.2-5.1,0.1-4.2,No,15,**100.0% (72 / 72),**100.0% (4 / 4),0.0% (0 / 43),NA% (0 / 0),0.0% (0 / 48),0.0% (0 / 2),0.0% (0 / 55),0.0% (0 / 1),0.0% (0 / 119),0.0% (0 / 3),0.0% (0 / 89),0.0% (0 / 4),0.7% (1 / 147),0.0% (0 / 4)
S32 ,SP7156,Lys2653,M5640,1308135,673591,235029,3438,97.87,2387,85.62,2.8,0.8,1.6-4.7,0.3-1.8,No,30,**100.0% (206 / 206),100.0% (2 / 2),0.0% (0 / 225),0.0% (0 / 2),0.0% (0 / 169),0.0% (0 / 1),0.0% (0 / 426),0.0% (0 / 1),0.3% (2 / 598),9.1% (1 / 11),0.3% (1 / 320),12.5% (1 / 8),0.2% (1 / 608),0.0% (0 / 5)
S31 ,SP7155,Lys2652,M5639,1192543,668167,239368,11898,55.28,1088,12.28,3.8,1.1,1.5-7.6,0.2-3.1,No,15,**99.2% (118 / 119),0.0% (0 / 1),0.0% (0 / 104),0.0% (0 / 2),0.0% (0 / 94),NA% (0 / 0),0.0% (0 / 131),NA% (0 / 0),0.0% (0 / 251),0.0% (0 / 2),0.0% (0 / 154),0.0% (0 / 2),0.0% (0 / 238),0.0% (0 / 5)
S30 ,SP7154,Lys2651,M5638,824423,419443,89655,1089,100,1002,81.51,2.5,0.6,0.8-5.7,0.1-2.0,No,10,**98.9% (94 / 95),100.0% (1 / 1),0.0% (0 / 140),0.0% (0 / 1),0.0% (0 / 50),NA% (0 / 0),0.0% (0 / 167),NA% (0 / 0),0.0% (0 / 216),NA% (0 / 0),0.0% (0 / 125),0.0% (0 / 1),0.0% (0 / 261),0.0% (0 / 2)
S29 ,SP7153,Lys2650,M5637,1102018,645482,94459,1691,98.45,1078,62.45,2.6,0.3,0.8-5.9,0.0-1.7,No,15,**100.0% (71 / 71),**100.0% (3 / 3),0.0% (0 / 130),0.0% (0 / 1),0.0% (0 / 88),NA% (0 / 0),0.0% (0 / 164),0.0% (0 / 1),0.0% (0 / 239),0.0% (0 / 1),0.0% (0 / 129),0.0% (0 / 2),0.8% (2 / 245),0.0% (0 / 4)
S28 ,SP7152,Lys2649,M5636,1276820,711452,270785,11168,60.16,1175,14.59,2.3,1.3,0.8-5.3,0.4-3.1,No,20,**100.0% (132 / 132),100.0% (1 / 1),0.0% (0 / 147),0.0% (0 / 2),0.0% (0 / 93),0.0% (0 / 2),0.0% (0 / 152),0.0% (0 / 2),0.0% (0 / 282),0.0% (0 / 7),0.0% (0 / 173),NA% (0 / 0),0.0% (0 / 315),0.0% (0 / 3)
S27 ,SP7151,Lys2648,M5635,1319612,615077,267885,3634,97.43,1935,85.63,2.5,0.6,1.2-4.5,0.2-1.6,No,28,**100.0% (219 / 219),**100.0% (3 / 3),0.0% (0 / 226),0.0% (0 / 2),0.0% (0 / 131),0.0% (0 / 2),0.0% (0 / 321),0.0% (0 / 2),0.0% (0 / 466),0.0% (0 / 3),0.0% (0 / 250),0.0% (0 / 1),0.2% (1 / 468),0.0% (0 / 6)
S26 ,SP7150,Lys2647,M5634,981103,531254,162021,2602,100,2342,61.75,0.9,0.1,0.3-2.3,0.0-0.8,No,20,**100.0% (248 / 248),**100.0% (2 / 2),0.0% (0 / 197),0.0% (0 / 2),0.0% (0 / 174),0.0% (0 / 1),0.0% (0 / 346),NA% (0 / 0),0.2% (1 / 485),0.0% (0 / 2),0.0% (0 / 333),0.0% (0 / 5),0.3% (2 / 579),0.0% (0 / 10)
S25 ,SP7149,Lys2646,M5633,1121716,666043,77812,2002,99.29,1408,42.95,5.1,3.1,2.7-8.5,1.6-5.3,No,39,**100.0% (148 / 148),100.0% (1 / 1),0.0% (0 / 130),0.0% (0 / 5),1.3% (1 / 75),0.0% (0 / 3),0.0% (0 / 252),NA% (0 / 0),0.0% (0 / 370),0.0% (0 / 10),0.0% (0 / 156),0.0% (0 / 3),0.0% (0 / 320),0.0% (0 / 6)
S24 ,SP7148,Lys2645,M5632,1463619,767599,313584,11964,49.07,844,15.33,1.4,1.6,0.2-4.9,0.5-4.2,No,6,**99.0% (95 / 96),NA% (0 / 0),0.0% (0 / 85),0.0% (0 / 2),0.0% (0 / 53),NA% (0 / 0),0.0% (0 / 121),0.0% (0 / 2),0.0% (0 / 180),0.0% (0 / 2),0.0% (0 / 105),NA% (0 / 0),0.9% (2 / 213),50.0% (1 / 2)
S23 ,SP7147,Lys2644,M5631,1107249,587351,168167,2707,99.28,1944,66.54,2.8,0.8,1.4-5.0,0.3-1.9,No,24,**100.0% (213 / 213),100.0% (2 / 2),0.5% (1 / 222),0.0% (0 / 7),0.0% (0 / 129),0.0% (0 / 2),0.0% (0 / 310),0.0% (0 / 1),0.0% (0 / 508),0.0% (0 / 7),0.3% (1 / 299),0.0% (0 / 4),0.4% (2 / 479),0.0% (0 / 4)
S22 ,SP7146,Lys2643,M5630,1113722,596328,121816,1377,100,1213,88.28,1.3,1,0.3-3.9,0.3-2.6,No,17,**98.4% (123 / 125),**75.0% (3 / 4),0.0% (0 / 121),0.0% (0 / 1),0.0% (0 / 108),0.0% (0 / 2),0.0% (0 / 190),0.0% (0 / 3),0.0% (0 / 306),0.0% (0 / 5),0.5% (1 / 186),0.0% (0 / 5),0.0% (0 / 289),0.0% (0 / 4)
S21 ,SP7145,Lys2642,M5629,1152569,637179,190705,2882,99.88,2595,64.51,2.2,0.5,1.2-3.9,0.1-1.3,No,24,**100.0% (283 / 283),100.0% (1 / 1),0.0% (0 / 273),0.0% (0 / 1),0.0% (0 / 146),0.0% (0 / 4),0.0% (0 / 370),0.0% (0 / 2),0.0% (0 / 689),0.0% (0 / 7),0.0% (0 / 409),0.0% (0 / 2),0.2% (1 / 637),0.0% (0 / 4)
S20 ,SP7144,Lys2640,M5627,1425498,805417,344746,16052,45.31,1188,NA,2,1.3,0.5-4.9,0.4-3.1,No,15,**97.0% (128 / 132),NA% (0 / 0),0.0% (0 / 129),0.0% (0 / 2),0.0% (0 / 93),NA% (0 / 0),0.0% (0 / 142),0.0% (0 / 1),0.7% (2 / 275),0.0% (0 / 1),0.0% (0 / 208),0.0% (0 / 1),1.8% (5 / 281),0.0% (0 / 2)
S19 ,SP7143,Lys2639,M5626,1169439,689048,193079,2122,100,1778,92.15,1.1,0.5,0.3-2.7,0.1-1.5,No,19,**100.0% (190 / 190),100.0% (2 / 2),0.0% (0 / 218),0.0% (0 / 2),0.0% (0 / 99),0.0% (0 / 2),0.0% (0 / 260),NA% (0 / 0),0.0% (0 / 381),0.0% (0 / 1),0.4% (1 / 281),0.0% (0 / 4),0.0% (0 / 487),0.0% (0 / 9)
S18 ,SP7142,Lys2638,M5625,1240539,664162,150203,1873,99.82,1658,79.12,1.8,0.6,0.6-4.1,0.1-1.7,No,14,**100.0% (161 / 161),NA% (0 / 0),0.0% (0 / 168),0.0% (0 / 3),0.0% (0 / 95),0.0% (0 / 3),0.0% (0 / 180),NA% (0 / 0),0.0% (0 / 376),0.0% (0 / 4),0.0% (0 / 265),0.0% (0 / 2),0.0% (0 / 396),0.0% (0 / 2)
S17 ,SP7141,Lys2637,M5624,1482630,772817,192665,2081,99.35,1836,92.68,1.6,0,0.5-3.7,0.0-0.7,No,16,**100.0% (186 / 186),**100.0% (3 / 3),0.0% (0 / 208),NA% (0 / 0),0.0% (0 / 121),0.0% (0 / 1),0.0% (0 / 268),0.0% (0 / 1),0.0% (0 / 408),0.0% (0 / 6),0.0% (0 / 156),0.0% (0 / 1),0.4% (2 / 464),0.0% (0 / 5)
S16 ,SP7140,Lys2636,M5623,1138352,567225,156173,1154,100,1040,132.28,1.5,2,0.3-4.3,0.7-4.3,No,9,**100.0% (124 / 124),NA% (0 / 0),1.0% (1 / 104),0.0% (0 / 2),0.0% (0 / 68),NA% (0 / 0),0.5% (1 / 193),0.0% (0 / 1),0.0% (0 / 259),0.0% (0 / 1),0.0% (0 / 160),0.0% (0 / 2),0.0% (0 / 296),NA% (0 / 0)
S15 ,SP7139,Lys2635,M5618,1127347,633241,174948,1745,100,1602,97.52,2.3,0.4,0.9-5.0,0.0-1.4,No,19,**100.0% (136 / 136),100.0% (1 / 1),0.0% (0 / 172),0.0% (0 / 4),0.0% (0 / 113),0.0% (0 / 2),0.0% (0 / 269),0.0% (0 / 1),0.0% (0 / 346),0.0% (0 / 4),0.0% (0 / 277),0.0% (0 / 2),0.0% (0 / 335),NA% (0 / 0)
S14 ,SP7138,Lys2634,M5617,1255854,723515,194612,3055,99.82,2735,63.3,1.2,0.1,0.4-2.5,0.0-0.7,No,12,**99.0% (197 / 199),100.0% (1 / 1),0.0% (0 / 388),NA% (0 / 0),0.0% (0 / 203),0.0% (0 / 1),0.0% (0 / 484),0.0% (0 / 2),0.1% (1 / 715),0.0% (0 / 4),0.3% (1 / 335),0.0% (0 / 1),0.0% (0 / 600),0.0% (0 / 5)
S13 ,SP7137,Lys2633,M5616,1228051,645246,180662,1855,100,1679,95.97,2.1,1.4,0.8-4.3,0.6-2.8,No,24,**100.0% (187 / 187),NA% (0 / 0),0.0% (0 / 160),0.0% (0 / 1),0.0% (0 / 90),NA% (0 / 0),0.0% (0 / 217),0.0% (0 / 2),0.0% (0 / 267),0.0% (0 / 2),0.0% (0 / 247),0.0% (0 / 1),0.3% (1 / 393),0.0% (0 / 2)
S12 ,SP7136,Lys2632,M5615,1300929,703940,278950,3333,100,3011,82.66,1.2,0.7,0.5-2.4,0.2-1.4,No,23,**100.0% (287 / 287),**100.0% (2 / 2),0.0% (0 / 353),NA% (0 / 0),0.0% (0 / 207),0.0% (0 / 1),0.0% (0 / 412),0.0% (0 / 1),0.0% (0 / 624),0.0% (0 / 7),0.0% (0 / 465),0.0% (0 / 2),0.1% (1 / 858),0.0% (0 / 7)
S11 ,SP7135,Lys2631,M5614,1368216,798535,301303,8488,99.79,7634,NA,0.8,0.7,0.5-1.4,0.4-1.2,No,63,**99.6% (916 / 920),**100.0% (4 / 4),0.2% (2 / 893),0.0% (0 / 8),1.4% (9 / 626),0.0% (0 / 1),0.1% (1 / 1074),0.0% (0 / 5),0.0% (0 / 1750),0.0% (0 / 12),0.1% (1 / 1243),0.0% (0 / 7),0.2% (4 / 2083),0.0% (0 / 18)
S10 ,SP7134,Lys2630,M5613,1019622,569751,107478,3085,96.73,1627,36.4,2.2,0.6,0.9-4.5,0.1-1.9,No,17,**100.0% (185 / 185),**100.0% (3 / 3),0.0% (0 / 181),0.0% (0 / 1),0.0% (0 / 91),0.0% (0 / 1),0.0% (0 / 256),0.0% (0 / 1),0.0% (0 / 404),0.0% (0 / 3),0.0% (0 / 212),0.0% (0 / 1),0.0% (0 / 353),0.0% (0 / 5)
S9 ,SP7133,Lys2629,M5612,1409367,792611,250849,1580,100,1422,160.77,3.7,0.4,1.9-6.6,0.1-1.6,No,22,**100.0% (195 / 195),100.0% (2 / 2),0.0% (0 / 178),0.0% (0 / 2),0.0% (0 / 80),NA% (0 / 0),0.0% (0 / 205),NA% (0 / 0),0.3% (1 / 339),0.0% (0 / 5),0.0% (0 / 208),0.0% (0 / 1),0.0% (0 / 359),0.0% (0 / 2)
S8 ,SP7132,Lys2628,M5611,1198334,658554,297762,3612,100,3299,81.3,2.2,0.5,1.2-3.6,0.2-1.1,No,32,**100.0% (351 / 351),**100.0% (7 / 7),0.0% (0 / 384),0.0% (0 / 7),0.0% (0 / 157),0.0% (0 / 2),0.0% (0 / 500),0.0% (0 / 1),0.0% (0 / 774),0.0% (0 / 3),0.0% (0 / 525),0.0% (0 / 10),0.0% (0 / 949),0.0% (0 / 4)
S7 ,SP7131,Lys2627,M5610,1162311,687748,200940,3168,99.79,2844,62.04,1.9,0.7,0.9-3.5,0.3-1.6,No,29,**100.0% (268 / 268),**100.0% (5 / 5),0.3% (1 / 304),0.0% (0 / 4),0.5% (1 / 216),0.0% (0 / 2),0.0% (0 / 355),0.0% (0 / 1),0.0% (0 / 695),0.0% (0 / 9),0.0% (0 / 403),0.0% (0 / 2),0.1% (1 / 705),0.0% (0 / 4)
S6 ,SP7130,Lys2626,M5609,1122879,657870,148376,4433,82.13,1025,34.21,3.7,1.8,1.5-7.5,0.7-4.0,No,22,**100.0% (86 / 86),**100.0% (3 / 3),0.0% (0 / 112),0.0% (0 / 3),0.0% (0 / 54),NA% (0 / 0),0.0% (0 / 136),0.0% (0 / 1),0.4% (1 / 231),0.0% (0 / 4),0.0% (0 / 127),NA% (0 / 0),0.0% (0 / 263),0.0% (0 / 5)
S5 ,SP7129,Lys2625,M5608,1160211,624545,165018,2121,100,1903,77.88,0.3,0.3,0.0-1.6,0.0-1.2,No,11,**100.0% (172 / 172),100.0% (1 / 1),0.0% (0 / 175),NA% (0 / 0),0.0% (0 / 78),NA% (0 / 0),0.0% (0 / 291),0.0% (0 / 2),0.0% (0 / 422),0.0% (0 / 2),0.3% (1 / 301),0.0% (0 / 4),0.0% (0 / 475),0.0% (0 / 3)
S4 ,SP7128,Lys2624,M5607,1253963,658100,247703,2679,99.83,2368,92.43,2.5,0.7,1.2-4.5,0.2-1.6,No,28,**100.0% (228 / 228),**100.0% (6 / 6),0.0% (0 / 253),0.0% (0 / 5),0.0% (0 / 162),0.0% (0 / 2),0.0% (0 / 315),0.0% (0 / 6),0.0% (0 / 522),0.0% (0 / 6),0.0% (0 / 371),0.0% (0 / 4),0.7% (4 / 595),0.0% (0 / 4)
S3 ,SP7127,Lys2622,M5605,990521,579778,179901,3229,100,2906,54.53,2.4,0.3,1.2-4.2,0.0-0.9,No,22,**100.0% (269 / 269),100.0% (5 / 5),0.0% (0 / 326),0.0% (0 / 2),0.0% (0 / 189),0.0% (0 / 1),0.0% (0 / 356),NA% (0 / 0),0.0% (0 / 775),0.0% (0 / 5),0.0% (0 / 395),0.0% (0 / 1),0.0% (0 / 740),0.0% (0 / 2)
S2 ,SP7126,Lys2621,M5604,878145,477137,123664,1808,100,1548,69.71,0.4,0.6,0.0-2.1,0.1-1.7,No,7,**100.0% (167 / 167),NA% (0 / 0),0.0% (0 / 171),0.0% (0 / 1),0.0% (0 / 106),NA% (0 / 0),0.0% (0 / 213),0.0% (0 / 1),0.0% (0 / 311),0.0% (0 / 2),0.0% (0 / 240),0.0% (0 / 2),0.0% (0 / 380),0.0% (0 / 3)
M275 ,SP6929,LYS763,A21040,1389980,887782,276512,31755,3.68,139,2.06,26.9,17.1,11.6-47.8,6.6-33.6,No,18,**100.0% (6 / 6),NA% (0 / 0),**54.5% (6 / 11),66.7% (2 / 3),28.6% (2 / 7),100.0% (1 / 1),0.0% (0 / 17),0.0% (0 / 3),2.4% (1 / 41),0.0% (0 / 4),0.0% (0 / 15),0.0% (0 / 2),0.0% (0 / 18),0.0% (0 / 1)
M275 ,SP6929,LYS763,A21040,275724,45225,7342,4812,10.39,16,1.06,0,0,0.0-70.8,0.0-45.9,No,0,50.0% (1 / 2),NA% (0 / 0),50.0% (1 / 2),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),0.0% (0 / 2),NA% (0 / 0),0.0% (0 / 4),NA% (0 / 0),0.0% (0 / 4),NA% (0 / 0),0.0% (0 / 3),NA% (0 / 0)
M274 ,SP6928,LYS762,A21039,1403023,823666,7667,53,100,34,156.91,0,0,0.0-41.0,0.0-41.0,No,0,100.0% (1 / 1),NA% (0 / 0),0.0% (0 / 4),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),0.0% (0 / 6),NA% (0 / 0),0.0% (0 / 7),NA% (0 / 0),0.0% (0 / 4),NA% (0 / 0),0.0% (0 / 4),NA% (0 / 0)
