This table contains all individual libraries processed,,,,,,,,,,,,,,,,,"Support for different branches based on sequences covering diagnostic positions. Each shows percent support calculted by the number of sequences covering diagnostic positions supporting the relative branch over the total sequences covering diagnostic positions. Significant assignments (lower 95% binomial confidence >10% support) indicated with ""**"". Note that internal branches were not considered for assignment to a lineage. ",,,,,,,,,,,,,
Lines with the same Index Library ID are due to multiple sequencing runs of the same library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All deamination rates were computed by looking at C->T substitutions on the three terminal positions of the 5' and 3' ends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field sample ID,MPI-EVA Sample ID,Sub-sample/ Lysate ID,Indexed Library ID,Raw Sequences,Sequences ≥ 35 bp,"Mapped Sequences (≥ 35 bp, mapping quality ≥ 25)","Unique mapped sequences (≥ 35 bp, mapping quality ≥ 25)",% of sequences identified as hominin,Unique hominin sequences,Duplication rate,5' C->T substitutions [%],3' C->T substitutions [%],5' C->T substitutions [%] (95% binomial confidence intervals),3' C->T substitutions [%] (95% binomial confidence intervals),Ancient hominin mtDNA present, Number of deaminated sequences,Modern human support (all sequences),Modern human support (deaminated sequences only),Neanderthal-Hohlenstein-Stadel shared branch support (all sequences),Neanderthal-Hohlenstein-Stadel shared branch support (deaminated sequences only),Neanderthal support (all sequences),Neanderthal support (deaminated sequences only),Hohlenstein-Stadel support (all sequences),Hohlenstein-Stadel support (deaminated sequences only),Denisovan support (all sequences),Denisovan support (deaminated sequences only),Sima de los Huesos support (all sequences),Sima de los Huesos support (deaminated sequences only),Denisovan-Sima de los Huesos shared branch support (all sequences),Denisovan-Sima de los Huesos shared branch support (deaminated sequences only)
E253 ,SP7573,Lys3100,M5442,1008558,693485,264889,30406,24.95,961,2.01,35.4,17.1,29.8-41.3,12.7-22.3,Yes,229,**85.7% (72 / 84),**80.0% (12 / 15),**21.2% (17 / 80),22.2% (4 / 18),16.1% (9 / 56),25.0% (3 / 12),1.2% (1 / 85),0.0% (0 / 22),0.5% (1 / 198),0.0% (0 / 54),0.8% (1 / 125),0.0% (0 / 29),1.8% (4 / 225),1.8% (1 / 57)
E252 ,SP7572,Lys3099,A27263,1463556,1120262,281508,24262,2.77,64,2.52,33.3,21.4,15.6-55.3,4.7-50.8,No,15,100.0% (1 / 1),NA% (0 / 0),20.0% (1 / 5),0.0% (0 / 1),25.0% (1 / 4),0.0% (0 / 1),0.0% (0 / 3),NA% (0 / 0),25.0% (3 / 12),66.7% (2 / 3),0.0% (0 / 7),0.0% (0 / 3),33.3% (3 / 9),16.7% (1 / 6)
E252 ,SP7572,Lys3099,M5441,1121635,778052,297249,30994,3.5,133,2.02,37.1,40,21.5-55.1,21.1-61.3,Yes,36,33.3% (1 / 3),NA% (0 / 0),14.3% (1 / 7),0.0% (0 / 1),50.0% (1 / 2),NA% (0 / 0),0.0% (0 / 11),0.0% (0 / 4),22.7% (5 / 22),**50.0% (3 / 6),0.0% (0 / 17),0.0% (0 / 7),7.7% (2 / 26),20.0% (1 / 5)
E252 ,SP7572,Lys3099,M5441,1370944,280128,75209,16358,5.83,43,1.44,30.8,45.5,9.1-61.4,16.7-76.6,No,9,50.0% (1 / 2),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),33.3% (1 / 3),NA% (0 / 0),0.0% (0 / 2),0.0% (0 / 1),18.8% (3 / 16),40.0% (2 / 5),0.0% (0 / 6),NA% (0 / 0),8.3% (1 / 12),0.0% (0 / 1)
E251 ,SP7571,Lys3098,A27262,1207135,964629,303389,27939,5.85,136,1.93,59.1,22.2,36.4-79.3,8.6-42.3,No,38,**75.0% (9 / 12),75.0% (3 / 4),21.4% (3 / 14),0.0% (0 / 4),60.0% (3 / 5),100.0% (2 / 2),0.0% (0 / 11),0.0% (0 / 6),3.1% (1 / 32),0.0% (0 / 13),0.0% (0 / 17),0.0% (0 / 4),0.0% (0 / 39),0.0% (0 / 14)
E251 ,SP7571,Lys3098,M5440,1034510,226608,58094,15808,11.13,73,1.73,46.2,53.3,19.2-74.9,26.6-78.7,Yes,19,**87.5% (7 / 8),100.0% (2 / 2),14.3% (1 / 7),0.0% (0 / 1),25.0% (1 / 4),0.0% (0 / 1),14.3% (1 / 7),0.0% (0 / 1),0.0% (0 / 21),0.0% (0 / 7),7.7% (1 / 13),0.0% (0 / 6),0.0% (0 / 15),0.0% (0 / 5)
E251 ,SP7571,Lys3098,M5440,877847,615448,229228,30122,5.75,193,1.72,27.9,29.3,15.3-43.7,18.1-42.7,Yes,43,**94.4% (17 / 18),66.7% (2 / 3),23.5% (4 / 17),0.0% (0 / 2),27.3% (3 / 11),33.3% (1 / 3),7.1% (1 / 14),0.0% (0 / 3),2.1% (1 / 47),0.0% (0 / 14),3.7% (1 / 27),0.0% (0 / 8),6.7% (2 / 30),22.2% (2 / 9)
E250 ,SP7570,Lys3097,A27261,1175893,889997,213215,28119,64.02,3335,2.14,46.5,27.8,42.6-50.3,24.1-31.8,Yes,776,**97.5% (357 / 366),**95.1% (78 / 82),2.2% (7 / 317),2.8% (2 / 72),2.3% (5 / 220),3.5% (2 / 57),0.7% (2 / 286),0.0% (0 / 60),0.9% (6 / 676),0.7% (1 / 150),1.9% (10 / 533),1.6% (2 / 124),1.6% (13 / 834),1.6% (3 / 183)
E250 ,SP7570,Lys3097,M5439,999453,221810,60571,17466,79.81,1977,1.82,41.9,27.3,37.6-46.4,23.2-31.7,Yes,578,**95.9% (234 / 244),**94.9% (74 / 78),0.5% (1 / 200),0.0% (0 / 60),2.5% (4 / 157),2.0% (1 / 51),0.9% (2 / 230),0.0% (0 / 68),1.6% (7 / 430),0.8% (1 / 127),1.2% (4 / 338),3.5% (4 / 115),3.1% (17 / 557),3.2% (5 / 157)
E250 ,SP7570,Lys3097,M5439,723184,504334,190382,31922,62.55,4256,1.84,42,26.2,39.1-45.0,23.5-29.1,Yes,1191,**97.4% (407 / 418),**96.5% (111 / 115),1.1% (4 / 363),0.0% (0 / 101),2.3% (6 / 260),1.3% (1 / 78),0.3% (1 / 367),0.0% (0 / 108),1.4% (11 / 800),0.5% (1 / 216),1.4% (9 / 630),2.7% (5 / 185),1.9% (19 / 1018),2.5% (7 / 284)
E249 ,SP7569,Lys3096,M5438,889464,597797,224694,27134,9.42,286,1.81,24.6,23.7,15.1-36.5,13.6-36.6,Yes,44,**85.0% (17 / 20),**75.0% (3 / 4),20.0% (6 / 30),0.0% (0 / 1),**29.4% (5 / 17),0.0% (0 / 2),0.0% (0 / 26),0.0% (0 / 2),1.8% (1 / 55),16.7% (1 / 6),0.0% (0 / 40),0.0% (0 / 6),3.3% (2 / 61),0.0% (0 / 12)
E249 ,SP7569,Lys3096,M5438,1090982,219022,54394,14555,20.78,144,1.83,30.6,17.6,16.3-48.1,6.8-34.5,No,25,**100.0% (11 / 11),**100.0% (3 / 3),0.0% (0 / 13),0.0% (0 / 2),42.9% (3 / 7),50.0% (1 / 2),0.0% (0 / 13),0.0% (0 / 4),0.0% (0 / 34),0.0% (0 / 4),0.0% (0 / 23),0.0% (0 / 4),2.7% (1 / 37),0.0% (0 / 9)
E248 ,SP7568,Lys3095,M5437,947339,635298,248050,31010,7.86,350,1.59,24.7,16.2,15.8-35.5,8.4-27.1,No,67,**85.7% (18 / 21),75.0% (3 / 4),9.5% (2 / 21),0.0% (0 / 4),5.6% (1 / 18),0.0% (0 / 3),7.4% (2 / 27),0.0% (0 / 5),5.9% (4 / 68),14.3% (2 / 14),0.0% (0 / 49),0.0% (0 / 8),4.5% (4 / 88),9.5% (2 / 21)
E248 ,SP7568,Lys3095,M5437,982618,178789,44954,14547,15.96,147,1.51,35.9,23.3,21.2-52.8,9.9-42.3,No,36,**100.0% (14 / 14),100.0% (1 / 1),12.5% (2 / 16),0.0% (0 / 2),20.0% (2 / 10),33.3% (1 / 3),0.0% (0 / 11),0.0% (0 / 5),12.5% (4 / 32),28.6% (2 / 7),0.0% (0 / 24),0.0% (0 / 7),4.3% (2 / 47),6.7% (1 / 15)
