RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	FamilyKmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	RunID	MeanFragmentLength	breadth	coverage	expected_breadth	expected_breadth_prop
Cap.F.2725	2560493	2538194	1998634	141	0.002102	8.59	f	290	Carnivora	Otariidae	Arctocephalus_townsendi	best	106	0.3655	69	1.5362	575	67	569	0.07	+	10	15	66.7 (29.9,92.5)	21.1 (6.1,45.6)	0.0 (0.0,97.5)	0.0 (0.0,97.5)	200316_D00829_0327.lane1	40	0.03470336169955942	0.16657613615788522	0.13678089129341575	0.25371498439146334
Cap.F.2725	2560493	2538194	1998634	154	0.001569	121.0	f	3109	Chiroptera	Rhinolophidae	Rhinolophus_macrotis	best	1884	0.6059	721	2.613	542	721	542	0.85	+	67	103	53.1 (42.7,63.2)	13.0 (7.5,20.6)	0.0 (0.0,84.2)	0.0 (0.0,28.5)	200316_D00829_0327.lane1	40	0.03271169050636731	1.7405999155048584	0.7849639790081755	0.04167285554644109
Cap.F.2725	2560493	2538194	1998634	155	0.003588	8.43	f	239	Primates	Tarsiidae	Tarsius_lariang	best	77	0.3221	59	1.305	448	59	448	0.07	-	0	4	0.0 (0.0,60.2)	0.0 (0.0,24.7)	N/A (N/A,N/A)	N/A (N/A,N/A)	200316_D00829_0327.lane1	40	0.02703844528939586	0.14243466714949604	0.11818219189978663	0.22878612128232728
Cap.F.2725	2560493	2538194	1998634	161	0.003471	22.3	f	796	Artiodactyla	Suidae	Sus_celebensis	best	334	0.4195	189	1.7671	582	186	442	0.22	++	28	48	76.9 (56.4,91.0)	22.2 (10.1,39.2)	0.0 (0.0,97.5)	0.0 (0.0,52.2)	200316_D00829_0327.lane1	40	0.03512583740720623	0.45627376425855515	0.3316142044047413	0.10592380223958829
Cap.F.2725	2560493	2538194	1998634	167	0.002387	28.6	f	1035	Primates	Lemuridae	Eulemur_rubriventer	best	180	0.1739	104	1.7307	341	103	296	0.12	+	16	37	10.0 (1.2,31.7)	57.7 (36.9,76.6)	20.0 (0.5,71.6)	50.0 (1.3,98.7)	200316_D00829_0327.lane1	40	0.02058060232965176	0.2510712776872473	0.1988410708687841	0.1035027735453757
Cap.F.2725	2560493	2538194	1998634	170	0.003314	10.0	f	458	Carnivora	Eupleridae	Galidia_elegans	best	266	0.5807	170	1.5647	959	170	959	0.2	+	27	42	64.7 (46.5,80.3)	13.0 (4.9,26.3)	50.0 (1.3,98.7)	14.3 (0.4,57.9)	200316_D00829_0327.lane1	40	0.05787917194761301	0.4104049731426157	0.303987452842404	0.1903998714631793
Cap.F.2725	2560493	2538194	1998634	187	0.00165	7.12	f	122	Cingulata	Chlamyphoridae	Calyptophractus_retusus	best	32	0.2622	24	1.3333	426	23	380	0.02	-	3	6	100.0 (2.5,100.0)	50.0 (6.8,93.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	200316_D00829_0327.lane1	40	0.025710664493934457	0.057939525620133984	0.04987393303434273	0.5155130732567317
Cap.F.2725	2560493	2538194	1998634	189	0.002649	29.0	f	1231	Eulipotyphla	Erinaceidae	Erinaceus_europaeus	best	142	0.1153	85	1.6705	517	85	517	0.1	+	8	10	40.0 (12.2,73.8)	18.2 (5.2,40.3)	N/A (N/A,N/A)	0.0 (0.0,97.5)	200316_D00829_0327.lane1	40	0.03120284869334299	0.20520248657130785	0.16572633557231597	0.1882793617899515
Cap.F.2725	2560493	2538194	1998634	2140	0.01082	17.4	f	7198	Artiodactyla	Cervidae	Cervus_nippon_hortulorum	best	5071	0.7045	2381	2.1297	2998	2355	2980	2.8	++	366	598	53.3 (48.8,57.8)	20.7 (17.4,24.3)	30.0 (11.9,54.3)	12.0 (4.5,24.3)	200316_D00829_0327.lane1	40	0.18094031021787677	5.748083770897459	0.9937524005043172	0.18207785976270524
Cap.F.2725	2560493	2538194	1998634	218	0.0009525	13.4	f	1299	Rodentia	Echimyidae	Proechimys_echinothrix	best	237	0.1824	142	1.669	449	142	449	0.16	+	14	31	29.6 (13.8,50.2)	21.4 (8.3,41.0)	0.0 (0.0,97.5)	0.0 (0.0,97.5)	200316_D00829_0327.lane1	40	0.02709879896191683	0.3428088599191261	0.2611794556453142	0.10375547684239539
Cap.F.2725	2560493	2538194	1998634	223	0.002234	6.05	f	164	Didelphimorphia	Didelphidae	Didelphis_imperfecta	best	38	0.2317	26	1.4615	348	24	300	0.02	-	4	6	80.0 (28.4,99.5)	0.0 (0.0,45.9)	N/A (N/A,N/A)	0.0 (0.0,97.5)	200316_D00829_0327.lane1	40	0.02100307803729857	0.06276781942181182	0.05391606206610666	0.389551410701075
Cap.F.2725	2560493	2538194	1998634	235	0.001982	39.3	f	1448	Dasyuromorphia	Dasyuridae	Antechinus_flavipes	best	156	0.1077	109	1.4311	321	74	212	0.08	-	4	9	20.0 (2.5,55.6)	10.5 (1.3,33.1)	0.0 (0.0,97.5)	0.0 (0.0,97.5)	200316_D00829_0327.lane1	40	0.019373528879232303	0.26314201219144184	0.20733484444429795	0.09344077659091762
Cap.F.2725	2560493	2538194	1998634	236	0.002608	19.8	f	1065	Carnivora	Phocidae	Phoca_groenlandica	best	408	0.383	233	1.751	855	233	855	0.27	++	57	103	52.1 (37.2,66.7)	41.2 (30.6,52.4)	60.0 (14.7,94.7)	33.3 (7.5,70.1)	200316_D00829_0327.lane1	40	0.051602390005431834	0.5624962278954675	0.39145484925402974	0.13182207374303112
Cap.F.2725	2560493	2538194	1998634	239	0.001521	11.6	f	721	Eulipotyphla	Talpidae	Uropsilus_sp._1_FT-2014	best	184	0.2552	112	1.6428	744	112	744	0.13	+	14	22	58.8 (32.9,81.6)	10.3 (2.9,24.2)	N/A (N/A,N/A)	0.0 (0.0,70.8)	200316_D00829_0327.lane1	40	0.044903132355603836	0.27038445289395857	0.2123878233642984	0.2114204649038834
