DB_entry	QC	QC_comment	Comments	RunID	IndexLibID	CapLibID	IndexLibIDCoreDB	CapLibIDCoreDB	p7	p5	SampleID	ExtractID	SampleType	ExperimentType	ProbeSet	Site	Description	CC_reads	CC_percent	RawSeqs	FilteredL35	Identified	%Hominid	Mapped	%Mapped	Unique	Duplication_Rate	5'CT	3'CT	5'CT(95%CI)	3'CT(95%CI)	cond5'CT(95%CI)	cond3'CT(95%CI)	Ancient	Deaminated(term3)	H_support	H_support_deam	N_support	N_support_deam	N-HST_support	N-HST_support_deam	HST_support	HST_support_deam	D_support	D_support_deam	D-S_support	D-S_support_deam	S_support	S_support_deam	H_der	H_deam_der	N_der	N_deam_der	N-HST_der	N-HST_deam_der	HST_der	HST_deam_der	D_der	D_deam_der	D-S_der	D-S_deam_der	S_der	S_deam_der	
499	passed			160719	D5205	D2315	Lib.E.4977	Cap.H.1806	349	29	SP3876	E3412	sediment	production	AA163	Denisova Cave, Russia	Soil - Denisova Cave, east gallery, layer 14 (vial 54: DCE14-15)	1.7	0.000267	631319	624385	2575	2.4	2196	85.3	664	3.31	34.2	29.9	26.8-42.2	22.3-38.4	15.7-84.3	13.7-78.8	++	135	^^^59.2% (29 / 49)	11.1% (1 / 9)	^^^59.1% (13 / 22)	^^^100.0% (7 / 7)	^^^55.0% (11 / 20)	^^^66.7% (4 / 6)	0.0% (0 / 42)	0.0% (0 / 9)	0.0% (0 / 97)	0.0% (0 / 16)	0.0% (0 / 109)	0.0% (0 / 18)	1.5% (1 / 68)	6.7% (1 / 15)	(2831:2)(4940:1)(5580:1)(5821:2)(5840:2)(6266:1)(7868:2)(7891:3)(8065:1)(9325:1)(10324:1)(11770:3)(12474:2)(13095:2)(13889:1)(15148:1)(15355:2)(15443:1)	(11770:1)	(438:1)(6200:1)(7127:3)(8386:2)(8986:2)(9027:3)(9456:1)	(438:1)(6200:1)(7127:1)(8386:2)(9027:1)(9456:1)	(417:2)(547:2)(4532:3)(7424:1)(8365:1)(13801:1)(15671:1)	(417:1)(4532:1)(7424:1)(8365:1)							(6368:1)	(6368:1)	
500	passed			160719	D5206	D2316	Lib.E.4978	Cap.H.1807	350	30	SP3876	E3412	sediment	production	AA163	Denisova Cave, Russia	Soil - Denisova Cave, east gallery, layer 14 (vial 54: DCE14-15)	0.6	0.000086	688493	682034	2855	2.9	2438	85.4	1174	2.08	33.4	22.8	28.1-39.1	17.7-28.6	33.5-79.7	25.6-67.2	++	244	^^^49.4% (41 / 83)	9.1% (1 / 11)	^^^53.8% (21 / 39)	^^^75.0% (3 / 4)	^^^52.3% (23 / 44)	^^^87.5% (7 / 8)	1.4% (1 / 74)	0.0% (0 / 18)	2.3% (4 / 176)	2.9% (1 / 35)	0.0% (0 / 212)	0.0% (0 / 33)	0.0% (0 / 140)	0.0% (0 / 15)	(2056:2)(2831:1)(4940:1)(5821:1)(5840:1)(6266:1)(7868:1)(7891:2)(8021:2)(8065:3)(8461:2)(8503:1)(9325:3)(10324:5)(11770:2)(12474:5)(13359:2)(13656:1)(13889:1)(15148:2)(15443:2)	(11770:1)	(3808:2)(6200:2)(7127:3)(8386:5)(8986:2)(9027:3)(9456:2)(11950:2)	(7127:1)(9027:1)(9456:1)	(417:1)(547:1)(3399:2)(4532:4)(7106:1)(7424:1)(8365:4)(10532:2)(11458:2)(13801:1)(15479:2)(15671:2)	(3399:1)(4532:2)(10532:1)(11458:1)(15479:1)(15671:1)	(11186:1)		(4659:1)(6566:1)(7741:1)(7961:1)	(6566:1)					
501	passed			160719	D5207	D2317	Lib.E.4979	Cap.H.1808	351	31	SP3876	E3412	sediment	production	AA163	Denisova Cave, Russia	Soil - Denisova Cave, east gallery, layer 14 (vial 54: DCE14-15)	0	0	551853	545765	2364	2.6	2055	86.9	767	2.68	29.6	26.2	23.0-36.9	19.7-33.5	24.7-75.3	34.9-90.1	++	147	^^^38.5% (20 / 52)	10.0% (1 / 10)	^^^64.3% (9 / 14)	^^100.0% (3 / 3)	^^^50.0% (17 / 34)	^^^83.3% (5 / 6)	0.0% (0 / 37)	0.0% (0 / 10)	1.0% (1 / 105)	0.0% (0 / 25)	2.3% (3 / 133)	0.0% (0 / 21)	0.0% (0 / 100)	0.0% (0 / 17)	(4940:1)(5580:1)(6266:3)(8021:2)(8065:1)(9325:1)(10324:3)(11770:3)(12474:1)(13359:1)(13656:2)(15443:1)	(11770:1)	(3808:1)(6200:3)(7127:1)(8986:1)(9027:2)(9456:1)	(6200:2)(9027:1)	(417:1)(547:3)(3399:1)(4204:1)(7424:3)(13801:4)(15479:1)(15671:2)(16037:1)	(417:1)(4204:1)(7424:1)(15479:1)(16037:1)			(3888:1)		(1405:1)(8140:1)(11071:1)				
502	passed			160719	D5208	D2318	Lib.E.4980	Cap.H.1809	352	32	SP3848	E3541	sediment	production	AA163	Chagyrskaya Cave, Russia	Soil - Chagyrskaya layer 6C1 (vial 26: CHAG14-D6)	0	0	664460	657969	1045	1.1	604	57.8	321	1.88	61.0	43.8	49.6-71.6	32.7-55.3	48.2-97.7	26.0-74.0	++	109	^^^83.3% (20 / 24)	^^100.0% (7 / 7)	^^^100.0% (6 / 6)	^^100.0% (2 / 2)	^^^75.0% (6 / 8)	100.0% (1 / 1)	0.0% (0 / 10)	0.0% (0 / 3)	0.0% (0 / 32)	0.0% (0 / 12)	5.4% (2 / 37)	9.1% (1 / 11)	0.0% (0 / 22)	0.0% (0 / 10)	(2831:1)(5821:1)(5840:1)(11770:15)(12474:1)(15148:1)	(11770:7)	(438:1)(6200:1)(7127:1)(8386:1)(8986:1)(9456:1)	(438:1)(8386:1)	(4532:1)(5673:1)(7106:1)(8365:1)(11458:1)(15671:1)	(8365:1)					(486:1)(9884:1)	(486:1)			
503	passed			160719	D5209	D2319	Lib.E.4981	Cap.H.1810	353	33	SP3848	E3541	sediment	production	AA163	Chagyrskaya Cave, Russia	Soil - Chagyrskaya layer 6C1 (vial 26: CHAG14-D6)	1.1	0.000312	352239	348613	595	1.0	337	56.6	223	1.51	53.2	35.8	38.1-67.9	24.5-48.5	28.4-99.5	18.4-90.1	++	68	^^^69.2% (18 / 26)	^^78.6% (11 / 14)	^50.0% (2 / 4)	NA% (0 / 0)	100.0% (1 / 1)	NA% (0 / 0)	0.0% (0 / 6)	NA% (0 / 0)	4.5% (1 / 22)	16.7% (1 / 6)	0.0% (0 / 27)	0.0% (0 / 9)	0.0% (0 / 20)	0.0% (0 / 7)	(2523:1)(8021:1)(8065:1)(8503:1)(11770:14)	(11770:11)	(11950:2)		(3399:1)				(3636:1)	(3636:1)					
504	passed			160719	D5210	D2320	Lib.E.4982	Cap.H.1811	354	34	SP3848	E3541	sediment	production	AA163	Chagyrskaya Cave, Russia	Soil - Chagyrskaya layer 6C1 (vial 26: CHAG14-D6)	19.4	0.003302	588169	582145	1037	1.2	661	63.7	335	1.97	48.3	45.5	37.4-59.2	33.1-58.2	15.2-72.3	21.2-86.3	++	102	^^^71.0% (22 / 31)	^^66.7% (8 / 12)	^^^50.0% (4 / 8)	^^100.0% (2 / 2)	^^^36.4% (4 / 11)	^^100.0% (2 / 2)	0.0% (0 / 20)	0.0% (0 / 7)	0.0% (0 / 44)	0.0% (0 / 19)	2.2% (1 / 45)	0.0% (0 / 9)	0.0% (0 / 36)	0.0% (0 / 11)	(2056:2)(5580:1)(5840:1)(8021:1)(8065:1)(8461:1)(8503:1)(11770:11)(12474:1)(13889:1)(15443:1)	(5840:1)(11770:7)	(3808:2)(9027:1)(11950:1)	(3808:1)(11950:1)	(10532:1)(13801:1)(16037:2)	(10532:1)(16037:1)					(3747:1)				
505	passed			160719	D5211	D2321	Lib.E.4983	Cap.H.1812	355	35	SP3848	E3541	sediment	production	AA163	Chagyrskaya Cave, Russia	Soil - Chagyrskaya layer 6C1 (vial 26: CHAG14-D6)	0.7	0.000109	665003	658888	1174	1.1	750	63.9	338	2.22	49.5	34.1	39.6-59.5	24.5-44.7	23.4-83.3	29.9-92.5	++	114	^^^69.8% (30 / 43)	^^87.5% (14 / 16)	^^50.0% (3 / 6)	^^100.0% (2 / 2)	^^^71.4% (5 / 7)	0.0% (0 / 1)	0.0% (0 / 13)	0.0% (0 / 4)	2.3% (1 / 43)	7.1% (1 / 14)	0.0% (0 / 46)	0.0% (0 / 10)	0.0% (0 / 34)	0.0% (0 / 8)	(2523:1)(7868:1)(7891:2)(8021:1)(11770:22)(12474:2)(13889:1)	(11770:14)	(3808:3)	(3808:2)	(547:1)(5673:1)(13801:1)(15479:1)(15671:1)				(9966:1)	(9966:1)					
506	passed			160719	D5212	D2322	Lib.E.4984	Cap.H.1813	356	36	SP3848	E3541	sediment	production	AA163	Chagyrskaya Cave, Russia	Soil - Chagyrskaya layer 6C1 (vial 26: CHAG14-D6)	0	0	698003	691717	1094	1.1	657	60.1	324	2.03	51.1	41.6	40.3-61.8	31.2-52.5	34.8-93.3	27.7-84.8	++	105	^^^57.6% (19 / 33)	^^50.0% (8 / 16)	^^100.0% (3 / 3)	100.0% (1 / 1)	^^^100.0% (5 / 5)	^^^100.0% (3 / 3)	0.0% (0 / 14)	0.0% (0 / 6)	0.0% (0 / 32)	0.0% (0 / 7)	0.0% (0 / 38)	0.0% (0 / 12)	0.0% (0 / 14)	0.0% (0 / 6)	(5580:1)(8065:1)(11770:14)(12474:1)(13095:1)(15355:1)	(11770:8)	(8986:2)(9456:1)	(9456:1)	(3399:1)(4532:1)(5673:1)(8365:1)(13801:1)	(3399:1)(5673:1)(13801:1)									
507	passed			160719	D5213	D2323	Lib.E.4985	Cap.H.1814	357	37	SP3848	E3541	sediment	production	AA163	Chagyrskaya Cave, Russia	Soil - Chagyrskaya layer 6C1 (vial 26: CHAG14-D6)	0	0	691128	684105	1152	1.0	664	57.6	321	2.07	49.3	31.6	37.2-61.4	21.4-43.3	0.0-84.2	0.0-41.0	++	88	^^^73.9% (34 / 46)	^^76.5% (13 / 17)	25.0% (1 / 4)	NA% (0 / 0)	^^^75.0% (6 / 8)	^^^100.0% (4 / 4)	0.0% (0 / 13)	0.0% (0 / 4)	0.0% (0 / 34)	0.0% (0 / 9)	3.7% (1 / 27)	12.5% (1 / 8)	4.0% (1 / 25)	0.0% (0 / 10)	(5580:4)(7868:1)(7891:1)(8065:1)(11770:24)(13656:1)(15443:2)	(11770:13)	(11950:1)		(3399:2)(4204:2)(4532:1)(13801:1)	(3399:1)(4204:2)(4532:1)					(2284:1)	(2284:1)	(4380:1)		
508	passed			160719	D5214	D2324	Lib.E.4986	Cap.H.1815	358	38	SP3848	E3541	sediment	production	AA163	Chagyrskaya Cave, Russia	Soil - Chagyrskaya layer 6C1 (vial 26: CHAG14-D6)	2.9	0.000535	542793	439618	157	13.3	110	70.1	4	27.50	N/A	N/A	N/A-N/A	N/A-N/A	N/A-N/A	N/A-N/A	-	0	NA% (0 / 0)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)															
509	passed			160719	D5215	D2325	Lib.E.4987	Cap.H.1816	359	39	SP3833	E4031	sediment	production	AA163	Denisova Cave, Russia	Soil - Denisova cave, main gallery, layer 17  bulk eastside (vial 11: DCM14)	0	0	720813	713756	1810	1.4	1385	76.5	705	1.96	48.8	37.9	41.0-56.6	30.2-46.1	26.0-74.0	19.7-61.5	++	217	10.0% (4 / 40)	7.7% (1 / 13)	^^^100.0% (23 / 23)	^^^100.0% (6 / 6)	^^^85.0% (17 / 20)	^^^100.0% (6 / 6)	0.0% (0 / 30)	0.0% (0 / 11)	2.2% (2 / 90)	7.4% (2 / 27)	0.9% (1 / 111)	0.0% (0 / 40)	0.0% (0 / 67)	0.0% (0 / 23)	(4940:1)(8021:2)(13889:1)	(8021:1)	(3808:3)(6200:1)(7127:5)(8386:3)(8986:3)(9027:4)(9456:1)(11950:3)	(7127:1)(8386:2)(9027:1)(9456:1)(11950:1)	(547:2)(4204:1)(4532:1)(5673:1)(7106:2)(7424:2)(8365:3)(10532:1)(13801:3)(15479:1)	(547:1)(4204:1)(4532:1)(8365:3)			(736:2)	(736:2)	(9884:1)				
510	passed			160719	D5216	D2326	Lib.E.4988	Cap.H.1817	360	40	SP3833	E4031	sediment	production	AA163	Denisova Cave, Russia	Soil - Denisova cave, main gallery, layer 17  bulk eastside (vial 11: DCM14)	0	0	686713	679920	1697	1.3	1271	74.9	619	2.05	47.4	31.2	39.4-55.6	23.7-39.5	21.3-73.4	15.4-59.2	++	165	6.1% (2 / 33)	0.0% (0 / 7)	^^^100.0% (9 / 9)	^^100.0% (2 / 2)	^^^84.2% (16 / 19)	^^^100.0% (3 / 3)	0.0% (0 / 35)	0.0% (0 / 11)	3.2% (3 / 94)	0.0% (0 / 31)	2.9% (3 / 102)	7.4% (2 / 27)	1.6% (1 / 63)	0.0% (0 / 8)	(7868:1)(7891:1)		(438:1)(3808:1)(7127:1)(8386:1)(8986:3)(9027:1)(9456:1)	(438:1)(3808:1)	(417:2)(547:2)(3399:2)(4204:1)(4532:1)(5673:1)(7424:2)(8365:2)(10532:1)(16037:2)	(3399:1)(4532:1)(7424:1)			(3888:1)(4959:1)(10196:1)		(868:1)(1405:1)(8545:1)	(868:1)(1405:1)	(11335:1)		
511	passed			160719	D5217	D2327	Lib.E.4989	Cap.H.1818	361	41	SP3833	E4031	sediment	production	AA163	Denisova Cave, Russia	Soil - Denisova cave, main gallery, layer 17  bulk eastside (vial 11: DCM14)	0	0	716466	709807	1796	1.4	1357	75.6	711	1.91	49.7	36.9	42.4-57.1	29.8-44.5	27.8-77.0	14.7-49.4	++	217	10.9% (5 / 46)	16.7% (2 / 12)	^^^63.6% (7 / 11)	0.0% (0 / 3)	^^^88.5% (23 / 26)	^^^100.0% (10 / 10)	0.0% (0 / 34)	0.0% (0 / 10)	0.0% (0 / 96)	0.0% (0 / 35)	1.0% (1 / 99)	0.0% (0 / 39)	1.6% (1 / 63)	7.1% (1 / 14)	(2056:1)(5580:1)(6266:1)(11770:2)	(11770:2)	(8386:3)(8986:2)(9456:2)		(417:3)(3399:2)(4532:6)(5673:2)(7424:1)(8365:3)(10532:2)(11458:1)(15479:2)(16037:1)	(4532:3)(5673:1)(7424:1)(8365:1)(10532:2)(15479:2)					(11503:1)		(11335:1)	(11335:1)	
512	passed			160719	D5218	D2328	Lib.E.4990	Cap.H.1819	362	42	SP3833	E4031	sediment	production	AA163	Denisova Cave, Russia	Soil - Denisova cave, main gallery, layer 17  bulk eastside (vial 11: DCM14)	3.8	0.000715	531592	527083	1341	1.5	1027	76.6	630	1.63	56.3	29.7	48.6-63.8	22.5-37.8	22.3-95.7	6.4-47.6	++	201	13.0% (3 / 23)	0.0% (0 / 6)	^^^100.0% (8 / 8)	^^^100.0% (3 / 3)	^^^100.0% (15 / 15)	^^^100.0% (5 / 5)	0.0% (0 / 33)	0.0% (0 / 10)	1.0% (1 / 96)	0.0% (0 / 35)	2.1% (2 / 97)	0.0% (0 / 38)	4.3% (3 / 69)	0.0% (0 / 18)	(7868:1)(7891:1)(11770:1)		(438:1)(6200:1)(7127:1)(8986:1)(9027:1)(9456:2)(11950:1)	(438:1)(8986:1)(9456:1)	(547:2)(3399:2)(4204:1)(4532:1)(5673:1)(7106:1)(7424:1)(8365:1)(10532:2)(15671:1)(16037:2)	(547:1)(3399:2)(4532:1)(15671:1)			(10742:1)		(3747:1)(14950:1)		(5601:1)(13365:1)(13983:1)		
513	passed			160719	D5219	D2329	Lib.E.4991	Cap.H.1820	363	43	SP3833	E4031	sediment	production	AA163	Denisova Cave, Russia	Soil - Denisova cave, main gallery, layer 17  bulk eastside (vial 11: DCM14)	4.6	0.000723	632636	626660	1738	1.6	1368	78.7	782	1.75	42.9	39.5	35.9-50.1	32.3-47.2	27.2-72.8	22.1-63.4	++	219	3.4% (1 / 29)	0.0% (0 / 11)	^^^90.0% (18 / 20)	^^^100.0% (5 / 5)	^^^87.0% (20 / 23)	^^^80.0% (4 / 5)	0.0% (0 / 39)	0.0% (0 / 11)	1.2% (1 / 85)	0.0% (0 / 23)	1.9% (2 / 105)	0.0% (0 / 35)	1.3% (1 / 75)	0.0% (0 / 15)	(11770:1)		(438:1)(3808:3)(6200:4)(7127:2)(8386:3)(8986:2)(9027:1)(9456:2)	(3808:1)(6200:1)(7127:1)(8986:1)(9456:1)	(417:1)(547:1)(3399:4)(4204:1)(4532:2)(8365:2)(10532:3)(13801:2)(15479:1)(15671:1)(16037:2)	(3399:1)(4204:1)(10532:1)(13801:1)			(4659:1)		(7789:1)(8140:1)		(5601:1)		
