DB_entry	QC	QC_comment	Comments	RunID	IndexLibID	CapLibID	IndexLibIDCoreDB	CapLibIDCoreDB	p7	p5	SampleID	ExtractID	SampleType	ExperimentType	ProbeSet	Site	Description	CC_reads	CC_percent	RawSeqs	FilteredL35	Identified	%Hominid	Mapped	%Mapped	Unique	Duplication_Rate	5'CT	3'CT	5'CT(95%CI)	3'CT(95%CI)	cond5'CT(95%CI)	cond3'CT(95%CI)	Ancient	Deaminated(term3)	H_support	H_support_deam	N_support	N_support_deam	N-HST_support	N-HST_support_deam	HST_support	HST_support_deam	D_support	D_support_deam	D-S_support	D-S_support_deam	S_support	S_support_deam	H_der	H_deam_der	N_der	N_deam_der	N-HST_der	N-HST_deam_der	HST_der	HST_deam_der	D_der	D_deam_der	D-S_der	D-S_deam_der	S_der	S_deam_der	
310	passed	unexpected pairs		160425	R9953	L5684	Lib.E.6024	Cap.H.3828	346	38	SP3840	E4038	sediment	screening	AA75	Denisova Cave, Russia	Soil, Denisova Cave (Russia), Main Gallery, Layer 22.1, bulk westside - vial 18	129.9	0.017888	725992	695996	3874	4.3	3561	91.9	169	21.07	0.0	4.9	0.0-11.9	0.6-16.5	N/A-N/A	N/A-N/A	-	2	^^^93.8% (15 / 16)	NA% (0 / 0)	0.0% (0 / 5)	NA% (0 / 0)	0.0% (0 / 7)	NA% (0 / 0)	0.0% (0 / 10)	NA% (0 / 0)	0.0% (0 / 34)	0.0% (0 / 2)	0.0% (0 / 28)	NA% (0 / 0)	0.0% (0 / 22)	NA% (0 / 0)	(2523:1)(5580:2)(7868:2)(7891:2)(10324:1)(11770:3)(13656:1)(13889:2)(15355:1)														
311	passed	unexpected pairs		160425	R9954	L5685	Lib.E.6025	Cap.H.4711	347	39	SP3841	E4039	sediment	screening	AA75	Denisova Cave, Russia	Soil, Denisova Cave (Russia), Main Gallery, Layer 22.2, bulk westside - vial 19	126.5	0.009642	1311921	1260939	2421	5.5	2296	94.8	122	18.82	0.0	0.0	0.0-15.4	0.0-9.3	N/A-N/A	N/A-N/A	-	1	^^^100.0% (10 / 10)	NA% (0 / 0)	0.0% (0 / 3)	NA% (0 / 0)	0.0% (0 / 10)	NA% (0 / 0)	0.0% (0 / 8)	NA% (0 / 0)	0.0% (0 / 20)	NA% (0 / 0)	0.0% (0 / 38)	0.0% (0 / 1)	0.0% (0 / 20)	NA% (0 / 0)	(8021:3)(8065:2)(9325:1)(13095:1)(13359:2)(15443:1)														
312	passed	unexpected pairs		160425	R9955	L5686	Lib.E.6026	Cap.H.3735	348	40	SP3842	E4040	sediment	screening	AA75	Denisova Cave, Russia	Soil, Denisova Cave (Russia), Main Gallery, Layer 22.3, bulk westside - vial 20	6611.6	196.305154	3368	3201	56	100.0	56	100.0	10	5.60	0.0	0.0	0.0-97.5	0.0-70.8	N/A-N/A	N/A-N/A	-	0	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)															
313	passed	unexpected pairs		160425	R9956	L5687	Lib.E.6027	Cap.H.6616	389	41			control	screening	AA75		Library negative control	45.4	0.027752	163459	153755	12369	100.0	12344	99.8	121	102.02	0.0	0.0	0.0-16.1	0.0-21.8	N/A-N/A	N/A-N/A	-	3	^^^100.0% (11 / 11)	NA% (0 / 0)	0.0% (0 / 12)	NA% (0 / 0)	0.0% (0 / 11)	NA% (0 / 0)	0.0% (0 / 4)	NA% (0 / 0)	0.0% (0 / 19)	NA% (0 / 0)	0.0% (0 / 25)	NA% (0 / 0)	0.0% (0 / 13)	0.0% (0 / 2)	(4940:3)(5821:1)(5840:1)(7891:1)(8065:1)(10324:3)(15148:1)														
314	passed	unexpected pairs		160425	R9958	L5688	Lib.E.6029	Cap.H.4052	391	43	SP3843	E4041	sediment	screening	AA75	Chagyrskaya Cave, Russia	Soil, Chagyrskaya Cave (Russia), Unit 3 ?? vial 21	36.8	0.004030	912036	875905	992	0.7	858	86.5	281	3.05	9.6	0.0	4.3-18.1	0.0-4.9	N/A-N/A	0.0-97.5	-	25	^^^100.0% (26 / 26)	NA% (0 / 0)	0.0% (0 / 11)	NA% (0 / 0)	0.0% (0 / 14)	0.0% (0 / 2)	0.0% (0 / 19)	0.0% (0 / 1)	3.7% (1 / 27)	0.0% (0 / 3)	0.0% (0 / 63)	0.0% (0 / 1)	0.0% (0 / 40)	0.0% (0 / 2)	(2056:2)(2523:1)(2831:3)(4940:1)(5840:1)(7868:1)(7891:1)(9325:1)(11770:2)(12474:7)(13095:1)(13359:1)(13656:1)(13889:1)(15148:1)(15355:1)								(928:1)						
315	passed	unexpected pairs		160425	R9959	L5689	Lib.E.6030	Cap.H.4126	392	44	SP3844	E4042	sediment	screening	AA75	Chagyrskaya Cave, Russia	Soil, Chagyrskaya Cave (Russia), Unit 5 ?? vial 22	19.0	0.002016	940938	914743	194	0.0	44	22.7	35	1.26	100.0	10.0	2.5-100.0	0.3-44.5	N/A-N/A	N/A-N/A	-	4	100.0% (1 / 1)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	0.0% (0 / 4)	NA% (0 / 0)	0.0% (0 / 3)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	(15355:1)														
316	passed	unexpected pairs		160425	R9960	L5690	Lib.E.6031	Cap.H.4330	393	45	SP3674	E4043	sediment	screening	AA75	Les Cottes Cave, France	Soil, Les Cottes, France, Chatelperronian Layer	11.6	0.001385	837383	804646	444	0.2	162	36.5	53	3.06	12.5	12.5	0.3-52.7	1.6-38.3	N/A-N/A	N/A-N/A	-	4	^^^100.0% (7 / 7)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	0.0% (0 / 4)	NA% (0 / 0)	0.0% (0 / 9)	NA% (0 / 0)	0.0% (0 / 10)	NA% (0 / 0)	0.0% (0 / 8)	NA% (0 / 0)	0.0% (0 / 14)	NA% (0 / 0)	(2523:2)(6266:1)(9325:1)(13095:2)(13656:1)														
317	passed	unexpected pairs		160425	R9961	L5691	Lib.E.6032	Cap.H.5090	394	46	SP3845	E4044	sediment	screening	AA75	Chagyrskaya Cave, Russia	Soil, Chagyrskaya Cave (Russia), Unit 5, bottom ?? vial 23	178.5	0.022454	795011	774890	146	0.0	14	9.6	13	1.08	40.0	16.7	5.3-85.3	0.4-64.1	N/A-N/A	N/A-N/A	-	3	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)															
318	passed	unexpected pairs		160425	R9962	L5692	Lib.E.6033	Cap.H.5084	395	47	SP3907	E4045	sediment	screening	AA75	Trou Al'Wesse, Belgium	Soil, Trou Al'Wesse (Modave, Belgium), Stratum 17a	45.7	0.005055	904975	865034	313	0.1	90	28.8	24	3.75	25.0	25.0	0.6-80.6	3.2-65.1	N/A-N/A	N/A-N/A	-	3	100.0% (1 / 1)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	0.0% (0 / 3)	NA% (0 / 0)	0.0% (0 / 3)	NA% (0 / 0)	(2523:1)														
319	passed	unexpected pairs		160425	R9963	L5693	Lib.E.6034	Cap.H.4312	396	48	SP1736	E4046	sediment	screening	AA75	Vindija Cave, Croatia	Soil, Vindija (Croatia), Layer G3	48.0	0.005326	902023	869113	5854	6.6	5398	92.2	324	16.66	1.5	0.0	0.0-8.2	0.0-4.3	N/A-N/A	N/A-N/A	-	4	^^^95.0% (38 / 40)	NA% (0 / 0)	0.0% (0 / 14)	NA% (0 / 0)	0.0% (0 / 19)	NA% (0 / 0)	0.0% (0 / 16)	NA% (0 / 0)	0.0% (0 / 51)	0.0% (0 / 1)	0.0% (0 / 60)	NA% (0 / 0)	0.0% (0 / 45)	NA% (0 / 0)	(2056:3)(2523:4)(2831:1)(4940:3)(5821:1)(5840:2)(7868:3)(7891:3)(8065:1)(9325:2)(10324:1)(11770:2)(12474:1)(13095:2)(13359:2)(13656:1)(13889:2)(15148:3)(15355:1)														
320	passed	unexpected pairs		160425	R9964	L5694	Lib.E.6035	Cap.H.3789	365	73		E4047	control	screening	AA75		Extraction Negative Control	53.3	0.044354	120276	113573	12657	100.0	11829	93.5	189	62.59	0.0	0.0	0.0-10.0	0.0-7.1	N/A-N/A	N/A-N/A	-	2	^^^85.7% (12 / 14)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	0.0% (0 / 5)	NA% (0 / 0)	0.0% (0 / 11)	NA% (0 / 0)	0.0% (0 / 22)	NA% (0 / 0)	0.0% (0 / 21)	0.0% (0 / 1)	0.0% (0 / 17)	NA% (0 / 0)	(2523:3)(2831:1)(6266:1)(7868:1)(7891:1)(9325:1)(10324:1)(11770:1)(13359:1)(15355:1)														
321	passed	unexpected pairs		160425	R9965	L5695	Lib.E.6036	Cap.H.4651	366	74		E3101	control	screening	AA75		Extraction Negative Control, Charlie Hopfe	115.5	0.110409	104632	98600	5332	42.6	4844	90.8	95	50.99	0.0	0.0	0.0-12.3	0.0-14.8	N/A-N/A	N/A-N/A	-	0	^^^91.7% (11 / 12)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	0.0% (0 / 4)	NA% (0 / 0)	0.0% (0 / 13)	NA% (0 / 0)	0.0% (0 / 12)	NA% (0 / 0)	0.0% (0 / 13)	NA% (0 / 0)	(2523:1)(4940:2)(5821:1)(5840:1)(7891:1)(11770:1)(12474:1)(13359:1)(15148:1)(15443:1)														
328	passed	unexpected pairs		160426	R9945	L5702	Lib.E.6016	Cap.H.4525	362	54	SP3832	E4030	sediment	screening	AA163	Denisova Cave, Russia	Soil, Denisova Cave (Russia), Main Gallery, Layer 14.3, bulk eastside ?? vial 10	3.8	0.000409	918566	894254	1318	0.3	398	30.2	161	2.47	33.3	21.1	17.3-52.8	9.6-37.3	N/A-N/A	0.0-84.2	+	35	^^^50.0% (3 / 6)	NA% (0 / 0)	^^^75.0% (3 / 4)	0.0% (0 / 1)	^^^57.1% (4 / 7)	^^^100.0% (3 / 3)	0.0% (0 / 4)	0.0% (0 / 1)	7.7% (1 / 13)	0.0% (0 / 6)	0.0% (0 / 12)	0.0% (0 / 4)	0.0% (0 / 13)	0.0% (0 / 4)	(2831:1)(8461:1)(8503:1)		(438:1)(8986:1)(11950:1)		(547:1)(3399:1)(4204:1)(8365:1)	(547:1)(3399:1)(8365:1)			(14662:1)						
329	passed	unexpected pairs		160426	R9946	L5703	Lib.E.6017	Cap.H.4503	363	55	SP3833	E4031	sediment	screening	AA163	Denisova Cave, Russia	Soil, Denisova Cave (Russia), Main Gallery, Layer 17, bulk eastside - vial 11	0	0	1041561	1013092	2978	1.3	2242	75.3	954	2.35	46.9	27.5	40.7-53.2	21.8-33.7	21.5-69.2	13.8-50.2	++	263	6.9% (4 / 58)	0.0% (0 / 11)	^^^95.2% (20 / 21)	^^^100.0% (9 / 9)	^^^93.8% (30 / 32)	^^^100.0% (10 / 10)	0.0% (0 / 67)	0.0% (0 / 18)	0.9% (1 / 111)	2.6% (1 / 39)	3.3% (5 / 151)	0.0% (0 / 41)	0.0% (0 / 97)	0.0% (0 / 29)	(8021:1)(8065:2)(12474:1)		(438:2)(3808:1)(6200:3)(7127:2)(8386:2)(8986:5)(9027:2)(9456:1)(11950:2)	(6200:1)(7127:1)(8986:4)(9027:2)(11950:1)	(417:1)(547:1)(3399:2)(4532:3)(5673:1)(7106:1)(7424:5)(10532:1)(11458:1)(13801:8)(15479:1)(15671:1)(16037:4)	(3399:1)(4532:1)(7106:1)(7424:2)(11458:1)(13801:4)			(4659:1)	(4659:1)	(486:1)(4914:1)(4958:1)(7232:1)(8140:1)				
330	passed	unexpected pairs		160426	R9947	L5704	Lib.E.6018	Cap.H.3899	364	56	SP3834	E4032	sediment	screening	AA163	Denisova Cave, Russia	Soil, Denisova Cave (Russia), Main Gallery, Layer 19.1, bulk westside - vial 12	8.6	0.001063	813473	789032	5178	4.0	4483	86.6	1620	2.77	29.1	18.1	24.7-33.9	14.5-22.2	7.5-43.7	5.1-31.9	++	310	^^^41.0% (43 / 105)	0.0% (0 / 9)	^^^72.4% (21 / 29)	^^^100.0% (6 / 6)	^^^72.3% (34 / 47)	^^^91.7% (11 / 12)	0.0% (0 / 95)	0.0% (0 / 14)	2.5% (5 / 200)	2.3% (1 / 44)	3.0% (7 / 236)	4.3% (2 / 46)	1.0% (2 / 205)	2.6% (1 / 39)	(2056:2)(2523:2)(2831:4)(4940:1)(5821:1)(5840:1)(6266:2)(7868:2)(7891:2)(8021:1)(8065:1)(8461:2)(9325:1)(10324:4)(11770:5)(12474:2)(13095:2)(13359:1)(13656:1)(15148:3)(15355:2)(15443:1)		(438:1)(3808:2)(6200:2)(7127:3)(8386:1)(8986:2)(9027:1)(9456:4)(11950:5)	(3808:1)(6200:1)(7127:2)(11950:2)	(417:2)(547:1)(3399:2)(4204:3)(4532:2)(5673:2)(7106:4)(7424:2)(8365:2)(10532:1)(11458:2)(13801:5)(15479:3)(15671:1)(16037:2)	(547:1)(3399:2)(4204:1)(4532:1)(5673:1)(7106:2)(7424:1)(13801:1)(16037:1)			(4659:2)(5270:1)(6566:1)(13923:1)	(6566:1)	(486:1)(7232:1)(7789:3)(15250:2)	(486:1)(15250:1)	(5601:1)(13813:1)	(5601:1)	
331	passed	unexpected pairs		160426	R9948	L5705	Lib.E.6019	Cap.H.3780	341	33	SP3835	E4033	sediment	screening	AA163	Denisova Cave, Russia	Soil, Denisova Cave (Russia), Main Gallery, Layer 19.2, bulk westside - vial 13	8248.1	18.495915	44594	43597	0	0.0	0	NA	0	NA	NA	NA	NA	NA	NA	NA	-	0	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)															
332	passed	unexpected pairs		160426	R9949	L5706	Lib.E.6020	Cap.H.4549	342	34	SP3836	E4034	sediment	screening	AA163	Denisova Cave, Russia	Soil, Denisova Cave (Russia), Main Gallery, Layer 19.3, bulk westside - vial 14	57068.9	1230.728876	4637	4359	0	0.0	0	NA	0	NA	NA	NA	NA	NA	NA	NA	-	0	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)															
333	passed	unexpected pairs		160426	R9950	L5707	Lib.E.6021	Cap.H.3778	343	35	SP3837	E4035	sediment	screening	AA163	Denisova Cave, Russia	Soil, Denisova Cave (Russia), Main Gallery, Layer 20, bulk westside - vial 15	0	0	1234371	1184358	6197	1.6	4151	67.0	71	58.46	16.7	5.0	2.1-48.4	0.1-24.9	N/A-N/A	N/A-N/A	-	9	^^^87.5% (7 / 8)	100.0% (1 / 1)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 4)	NA% (0 / 0)	0.0% (0 / 16)	NA% (0 / 0)	0.0% (0 / 13)	NA% (0 / 0)	0.0% (0 / 4)	NA% (0 / 0)	(2831:1)(4940:1)(5821:1)(5840:1)(11770:2)(13889:1)	(11770:1)													
334	passed	unexpected pairs		160426	R9951	L5708	Lib.E.6022	Cap.H.3994	344	36	SP3838	E4036	sediment	screening	AA163	Denisova Cave, Russia	Soil, Denisova Cave (Russia), Main Gallery, Layer 21, bulk westside - vial 16	12.8	0.001002	1275054	1220282	432695	97.7	426817	98.6	9171	46.54	1.2	0.6	0.8-1.7	0.3-1.0	0.0-45.9	0.0-41.0	-	93	^^^98.8% (840 / 850)	^^^87.5% (7 / 8)	0.0% (0 / 347)	0.0% (0 / 3)	0.2% (1 / 571)	0.0% (0 / 4)	0.0% (0 / 742)	0.0% (0 / 2)	0.3% (5 / 1492)	0.0% (0 / 16)	0.4% (7 / 1580)	6.7% (1 / 15)	0.4% (6 / 1437)	0.0% (0 / 14)	(2056:32)(2523:30)(2831:33)(4940:34)(5580:14)(5821:24)(5840:26)(6266:55)(7868:43)(7891:37)(8021:28)(8065:39)(8461:29)(8503:30)(9325:33)(10324:47)(11770:20)(12474:29)(13095:36)(13359:17)(13656:33)(13889:32)(15148:28)(15355:44)(15443:67)	(2831:1)(4940:1)(8461:1)(8503:3)(13359:1)			(7106:1)				(4659:1)(5447:1)(7961:1)(15403:1)(15562:1)		(868:1)(6512:1)(6938:2)(11503:1)(12311:1)(12714:1)	(12714:1)	(3338:1)(3672:1)(4380:1)(7774:1)(9218:2)		
335	passed	unexpected pairs		160426	R9952	L5709	Lib.E.6023	Cap.H.5070	345	37	SP3839	E4037	sediment	screening	AA163	Denisova Cave, Russia	Soil, Denisova Cave (Russia), Main Gallery, Layer 21, bulk eastside - vial 17	1516.5	0.334592	453231	423996	28267	43.1	28071	99.3	22	1275.95	25.0	28.6	0.6-80.6	3.7-71.0	N/A-N/A	N/A-N/A	-	3	^^^100.0% (7 / 7)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	25.0% (1 / 4)	NA% (0 / 0)	0.0% (0 / 4)	NA% (0 / 0)	0.0% (0 / 4)	NA% (0 / 0)	(8021:2)(8065:4)(15355:1)								(12375:1)						
336	passed	unexpected pairs		160426	R9953	L5710	Lib.E.6024	Cap.H.3829	346	38	SP3840	E4038	sediment	screening	AA163	Denisova Cave, Russia	Soil, Denisova Cave (Russia), Main Gallery, Layer 22.1, bulk westside - vial 18	450.6	0.045596	988328	947677	90169	51.6	85056	94.3	351	242.32	0.0	2.4	0.0-6.1	0.3-8.4	0.0-97.5	N/A-N/A	-	3	^^^94.9% (37 / 39)	NA% (0 / 0)	0.0% (0 / 12)	NA% (0 / 0)	0.0% (0 / 9)	NA% (0 / 0)	0.0% (0 / 22)	NA% (0 / 0)	1.4% (1 / 71)	NA% (0 / 0)	1.7% (1 / 59)	NA% (0 / 0)	0.0% (0 / 55)	0.0% (0 / 1)	(5580:3)(7868:5)(7891:6)(8065:1)(8461:4)(9325:1)(10324:3)(11770:6)(13656:3)(13889:4)(15355:1)								(13528:1)		(9899:1)				
337	passed	unexpected pairs		160426	R9954	L5711	Lib.E.6025	Cap.H.4710	347	39	SP3841	E4039	sediment	screening	AA163	Denisova Cave, Russia	Soil, Denisova Cave (Russia), Main Gallery, Layer 22.2, bulk westside - vial 19	120.7	0.009882	1221139	1173490	119520	53.7	114859	96.1	352	326.30	4.3	3.6	0.9-12.0	1.0-9.0	0.0-97.5	0.0-97.5	-	9	^^^100.0% (23 / 23)	NA% (0 / 0)	0.0% (0 / 16)	NA% (0 / 0)	0.0% (0 / 27)	NA% (0 / 0)	0.0% (0 / 21)	NA% (0 / 0)	0.0% (0 / 70)	NA% (0 / 0)	0.0% (0 / 101)	0.0% (0 / 1)	0.0% (0 / 50)	NA% (0 / 0)	(2056:2)(5580:1)(8021:6)(8065:4)(9325:2)(10324:1)(13095:1)(13359:3)(15443:3)														
338	passed	unexpected pairs		160426	R9955	L5712	Lib.E.6026	Cap.H.3734	348	40	SP3842	E4040	sediment	screening	AA163	Denisova Cave, Russia	Soil, Denisova Cave (Russia), Main Gallery, Layer 22.3, bulk westside - vial 20	49.4	0.004257	1160951	1105776	220972	93.4	217716	98.5	4687	46.45	1.2	0.5	0.6-2.1	0.2-1.1	N/A-N/A	0.0-70.8	-	49	^^^99.3% (428 / 431)	^^^100.0% (4 / 4)	0.0% (0 / 165)	NA% (0 / 0)	0.4% (1 / 263)	0.0% (0 / 3)	0.5% (2 / 378)	NA% (0 / 0)	0.0% (0 / 764)	0.0% (0 / 8)	3.1% (29 / 928)	12.5% (1 / 8)	0.2% (1 / 568)	0.0% (0 / 8)	(2056:16)(2523:11)(2831:12)(4940:40)(5580:11)(5821:10)(5840:16)(6266:4)(7868:12)(7891:13)(8021:20)(8065:40)(8461:17)(8503:15)(9325:21)(10324:21)(11770:16)(12474:19)(13095:8)(13359:19)(13656:26)(13889:10)(15148:14)(15355:17)(15443:20)	(5821:1)(5840:1)(13359:2)			(7424:1)		(14133:2)				(7789:2)(9899:26)(11983:1)	(11983:1)	(11253:1)		
339	passed	unexpected pairs		160426	R9956	L5713	Lib.E.6027	Cap.H.6615	389	41			control	screening	AA163		Library negative control	56.1	0.028724	195408	186549	426	100.0	420	98.6	52	8.08	0.0	0.0	0.0-36.9	0.0-36.9	N/A-N/A	N/A-N/A	-	2	^^100.0% (2 / 2)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	0.0% (0 / 4)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 9)	NA% (0 / 0)	0.0% (0 / 8)	NA% (0 / 0)	0.0% (0 / 4)	NA% (0 / 0)	(7891:1)(10324:1)														
340	passed	unexpected pairs		160426	R9958	L5714	Lib.E.6029	Cap.H.4051	391	43	SP3843	E4041	sediment	screening	AA163	Chagyrskaya Cave, Russia	Soil, Chagyrskaya Cave (Russia), Unit 3 ?? vial 21	65.3	0.005535	1179269	1136493	38400	10.0	36479	95.0	1099	33.19	9.9	3.4	6.9-13.6	1.7-6.1	0.0-97.5	0.0-45.9	-	98	^^^96.7% (87 / 90)	^^^87.5% (7 / 8)	0.0% (0 / 34)	0.0% (0 / 1)	1.4% (1 / 73)	0.0% (0 / 7)	0.0% (0 / 90)	0.0% (0 / 8)	1.4% (2 / 141)	0.0% (0 / 15)	0.0% (0 / 205)	0.0% (0 / 17)	0.0% (0 / 143)	0.0% (0 / 10)	(2056:5)(2523:1)(2831:5)(4940:2)(5580:4)(5821:1)(5840:3)(6266:2)(7868:3)(7891:5)(8021:5)(8065:5)(8461:2)(8503:2)(9325:1)(10324:3)(11770:4)(12474:12)(13095:2)(13359:2)(13656:3)(13889:5)(15148:6)(15355:4)	(6266:1)(7868:1)(7891:2)(8021:1)(8503:1)(12474:1)			(417:1)				(928:1)(5447:1)						
341	passed	unexpected pairs		160426	R9959	L5715	Lib.E.6030	Cap.H.4127	392	44	SP3844	E4042	sediment	screening	AA163	Chagyrskaya Cave, Russia	Soil, Chagyrskaya Cave (Russia), Unit 5 ?? vial 22	17.4	0.001495	1162172	1129239	676	0.2	202	29.9	140	1.44	23.5	5.9	10.7-41.2	0.7-19.7	N/A-N/A	0.0-84.2	+	18	^^^100.0% (8 / 8)	100.0% (1 / 1)	0.0% (0 / 2)	0.0% (0 / 1)	0.0% (0 / 4)	NA% (0 / 0)	0.0% (0 / 20)	NA% (0 / 0)	0.0% (0 / 22)	0.0% (0 / 2)	0.0% (0 / 15)	NA% (0 / 0)	11.1% (2 / 18)	0.0% (0 / 1)	(5580:1)(6266:1)(7891:1)(8461:1)(11770:1)(13095:2)(13656:1)	(11770:1)											(5601:1)(6614:1)		
346	passed	unexpected pairs		160426	R9964	L5720	Lib.E.6035	Cap.H.3790	365	73		E4047	control	screening	AA163		Extraction Negative Control	48.3	0.038907	124177	116983	50277	100.0	49054	97.6	289	169.74	0.0	2.8	0.0-6.8	0.3-9.7	N/A-N/A	N/A-N/A	-	5	^^^90.0% (18 / 20)	NA% (0 / 0)	0.0% (0 / 5)	NA% (0 / 0)	0.0% (0 / 10)	NA% (0 / 0)	0.0% (0 / 17)	NA% (0 / 0)	0.0% (0 / 31)	NA% (0 / 0)	0.0% (0 / 35)	0.0% (0 / 2)	0.0% (0 / 26)	NA% (0 / 0)	(2523:3)(2831:1)(6266:1)(7868:1)(7891:1)(8503:2)(9325:3)(10324:1)(11770:1)(13359:1)(15355:1)(15443:2)														
347	passed	unexpected pairs		160426	R9965	L5721	Lib.E.6036	Cap.H.4652	366	74		E3101	control	screening	AA163		Extraction Negative Control, Charlie Hopfe	129.5	0.104093	124368	116848	47029	100.0	46436	98.7	167	278.06	0.0	0.0	0.0-7.0	0.0-10.3	N/A-N/A	N/A-N/A	-	2	^^^94.1% (16 / 17)	100.0% (1 / 1)	0.0% (0 / 6)	NA% (0 / 0)	0.0% (0 / 9)	NA% (0 / 0)	0.0% (0 / 5)	NA% (0 / 0)	0.0% (0 / 21)	0.0% (0 / 1)	0.0% (0 / 17)	NA% (0 / 0)	0.0% (0 / 25)	NA% (0 / 0)	(2056:1)(2523:2)(4940:2)(5821:2)(5840:2)(7891:1)(11770:1)(12474:2)(13359:1)(13889:1)(15148:1)	(12474:1)													
495	passed			160719	D5201	D2311	Lib.E.4973	Cap.H.1802	345	25	SP3876	E3412	sediment	production	AA163	Denisova Cave, Russia	Soil - Denisova Cave, east gallery, layer 14 (vial 54: DCE14-15)	0	0	647572	641420	2708	3.0	2303	85.0	1269	1.81	28.1	23.8	23.2-33.4	19.0-29.3	8.2-47.2	8.2-47.2	++	234	^^^42.1% (32 / 76)	0.0% (0 / 14)	^^^63.6% (21 / 33)	^^^100.0% (5 / 5)	^^^63.5% (33 / 52)	^^^100.0% (10 / 10)	1.1% (1 / 88)	8.3% (1 / 12)	0.5% (1 / 195)	0.0% (0 / 46)	0.0% (0 / 199)	0.0% (0 / 37)	0.8% (1 / 129)	0.0% (0 / 30)	(2523:3)(4940:1)(5840:1)(6266:1)(7868:4)(7891:3)(8021:2)(8065:2)(8461:1)(9325:2)(10324:2)(12474:1)(13095:2)(13656:1)(13889:3)(15355:2)(15443:1)		(438:3)(3808:4)(6200:4)(7127:2)(8386:1)(8986:3)(9027:1)(11950:3)	(438:1)(6200:1)(7127:1)(8386:1)(8986:1)	(417:4)(547:2)(3399:2)(4204:2)(4532:2)(5673:2)(7106:2)(7424:1)(8365:2)(10532:5)(13801:4)(15479:2)(15671:2)(16037:1)	(417:1)(3399:1)(4532:1)(7106:2)(8365:2)(10532:1)(13801:1)(15671:1)	(11186:1)	(11186:1)	(14971:1)				(11335:1)		
