Summary table of all sediment samples,,,,,,,,,,,,,,,,,
Data source refers to the step in the screening of samples,,,,,,,,,,,,,,,,,
Controls are identified in SampleID column: ENC=Extraction Negative Control; LNC=Library Negataive Control,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Data Source,Chamber (Section),Library PlateID,Layer,MPI-EVA sample ID,Field sampleID,Sub-sample/lysate ID,Input for DNA extraction (mg),Extract ID,Number of molecules in library,Control oligo copies in library,Indexed library ID,Captured library ID - mammalian mtDNA,ENA Accession ID,Ancient mammalian mtDNA present,Captured library ID - human mtDNA,ENA Accession ID,Ancient hominin mtDNA present
First Screen,East NW,Pl_257,14,SP7358,E32,Lys2870,64.7,E12396,3.54E+10,6.03E+05,M3868,B19445,ERS6159616,Yes,B19352,ERS6161005,Yes
First Screen,East NW,Pl_257,14,SP7359,E33,Lys2871,55.7,E12397,2.06E+10,2.95E+05,M3869,B19446,ERS6159617,Yes,B19353,ERS6161006,No
First Screen,East NW,Pl_257,14,SP7360,E34,Lys2872,49.1,E12398,1.38E+11,5.57E+05,M3870,B19447,ERS6159618,Yes,B19354,ERS6161007,Yes
First Screen,East NW,Pl_257,13,SP7361,E35,Lys2873,58.4,E12399,4.04E+11,8.92E+05,M3871,B19448,ERS6159619,Yes,B19356,ERS6161008,No
First Screen,East NW,Pl_257,13,SP7362,E36,Lys2874,67.8,E12400,1.49E+11,5.33E+05,M3872,B19449,ERS6159620,Yes,B19358,ERS6161009,No
First Screen,East NW,Pl_257,13,SP7363,E37,Lys2875,73.9,E12401,4.57E+11,6.56E+05,M3873,B19450,ERS6159621,Yes,B19359,ERS6161010,No
First Screen,,Pl_257,,ENC,,,,E12402,7.16E+07,1.23E+06,M3874,B19452,ERS6159622,No,B19360,ERS6161011,No
First Screen,East NW,Pl_257,13,SP7364,E38,Lys2877,47.7,E12403,2.20E+11,1.29E+06,M3875,B19454,ERS6159623,Yes,B19361,ERS6161012,No
First Screen,East NW,Pl_257,13,SP7365,E39,Lys2878,58.6,E12404,4.18E+11,1.43E+06,M3876,B19455,ERS6159624,Yes,B19362,ERS6161013,No
First Screen,East NW,Pl_257,13,SP7366,E40,Lys2879,69.6,E12405,1.79E+11,9.48E+09,M3877,B19456,ERS6159625,Yes,B19363,ERS6161014,No
