Summary table of all sediment samples,,,,,,,,,,,,,,,,,
Data source refers to the step in the screening of samples,,,,,,,,,,,,,,,,,
Controls are identified in SampleID column: ENC=Extraction Negative Control; LNC=Library Negataive Control,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Data Source,Chamber (Section),Library PlateID,Layer,MPI-EVA sample ID,Field sampleID,Sub-sample/lysate ID,Input for DNA extraction (mg),Extract ID,Number of molecules in library,Control oligo copies in library,Indexed library ID,Captured library ID - mammalian mtDNA,ENA Accession ID,Ancient mammalian mtDNA present,Captured library ID - human mtDNA,ENA Accession ID,Ancient hominin mtDNA present
First Screen,East SE,Pl_258,14,SP7465,E145,Lys2984,98.5,E12514,6.51E+10,1.56E+10,M5103,B19667,ERS6159735,Yes,B19576,ERS6161124,Yes
First Screen,,Pl_258,,LNC,,,,,6.80E+07,1.88E+06,M5104,B19668,ERS6159736,No,B19578,ERS6161125,No
First Screen,East SE,Pl_258,14,SP7466,E146,Lys2985,53.25,E12515,3.70E+10,6.08E+05,M5109,B19669,ERS6159737,Yes,B19579,ERS6161126,No
First Screen,East SE,Pl_258,14,SP7467,E147,Lys2986,95.2,E12516,6.16E+10,1.17E+05,M5110,B19670,ERS6159738,Yes,B19580,ERS6161127,No
First Screen,East SE,Pl_258,14,SP7468,E148,Lys2987,63.1,E12517,1.83E+11,5.31E+05,M5111,B19671,ERS6159739,Yes,B19581,ERS6161128,Yes
First Screen,East SE,Pl_258,14,SP7469,E149,Lys2988,48,E12518,1.22E+11,6.04E+05,M5112,B19672,ERS6159740,Yes,B19582,ERS6161129,Yes
First Screen,East SE,Pl_258,14,SP7470,E150,Lys2989,64.5,E12519,1.48E+11,1.70E+06,M5113,B19673,ERS6159741,Yes,B19583,ERS6161130,Yes
First Screen,East SE,Pl_258,14,SP7471,E151,Lys2990,76.3,E12520,2.81E+11,N/A,M5114,B19674,ERS6159742,Yes,B19584,ERS6161131,Yes
First Screen,East SE,Pl_258,14,SP7472,E152,Lys2991,70.05,E12521,3.06E+11,N/A,M5115,B19675,ERS6159743,Yes,B19585,ERS6161132; ERS6161496,Yes
First Screen,,Pl_258,,ENC,,,,E12522,6.49E+07,N/A,M5116,B19678,ERS6159744,No,B19586,ERS6161133,No
First Screen,East SE,Pl_259,13,SP7473,E153 ,Lys2993,61.8,E12527,2.27E+11,1.40E+06,M5215,B21923,ERS6159745,Yes,B21832,ERS6161134; ERS6161497,No
First Screen,East SE,Pl_259, 12.3/13,SP7474,E154 ,Lys2994,82.6,E12528,6.42E+11,1.12E+06,M5216,B21924,ERS6159746,Yes,B21833,ERS6161135; ERS6161498,No
First Screen,East SE,Pl_259,12.3,SP7475,E155 ,Lys2995,51.1,E12529,1.54E+11,1.32E+06,M5217,B21925,ERS6159747,Yes,B21834,ERS6161136,No
First Screen,,Pl_259,,ENC,,,,E12530,7.15E+07,1.12E+06,M5218,B21926,ERS6159748,No,B21835,ERS6161137; ERS6161499,No
First Screen,East SE,Pl_259,12.3,SP7476,E156 ,Lys2997,89,E12531,2.93E+11,1.30E+06,M5219,B21929,ERS6159749,Yes,B21836,ERS6161138; ERS6161500,No
First Screen,East SE,Pl_259,12.3,SP7477,E157 ,Lys2998,67.6,E12532,2.82E+11,1.20E+06,M5220,B21930,ERS6159750,Yes,B21837,ERS6161139; ERS6161501,No
First Screen,East SE,Pl_259,12.3,SP7478,E158 ,Lys2999,57.9,E12533,4.17E+11,1.23E+06,M5221,B21931,ERS6159751,Yes,B21838,ERS6161140; ERS6161502,No
First Screen,East SE,Pl_259,14,SP7479,E159 ,Lys3000,91.4,E12534,3.13E+10,2.42E+04,M5222,B21932,ERS6159752,Yes,B21839,ERS6161141,Yes
First Screen,East SE,Pl_259,14,SP7480,E160 ,Lys3001,65.05,E12535,3.63E+10,1.14E+06,M5223,B21933,ERS6159753,Yes,B21840,ERS6161142,No
First Screen,East SE,Pl_259,14,SP7481,E161 ,Lys3002,68.7,E12536,3.39E+11,1.14E+06,M5224,B21934,ERS6159754,Yes,B21841,ERS6161143; ERS6161503,No
First Screen,East SE,Pl_259,13,SP7482,E162 ,Lys3003,62.75,E12537,1.05E+11,1.22E+06,M5225,B21935,ERS6159755,Yes,B21842,ERS6161144; ERS6161504,No
First Screen,East SE,Pl_259,13,SP7483,E163 ,Lys3004,66,E12538,1.48E+11,1.29E+06,M5226,B21936,ERS6159756,Yes,B21844,ERS6161145; ERS6161505,No
First Screen,East SE,Pl_259,12.3,SP7484,E164 ,Lys3005,68.8,E12539,1.06E+11,1.09E+06,M5227,B21937,ERS6159757,Yes,B21845,ERS6161146; ERS6161506,No
First Screen,East SE,Pl_259,12.3,SP7485,E165 ,Lys3006,72.9,E12540,1.60E+11,1.25E+06,M5228,B21939,ERS6159758,Yes,B21846,ERS6161147; ERS6161507,No
First Screen,East SE,Pl_259,12.3,SP7486,E166 ,Lys3007,77.6,E12541,1.08E+11,1.05E+06,M5229,B21940,ERS6159759,Yes,B21848,ERS6161148; ERS6161508,No
First Screen,East SE,Pl_259,12.3,SP7487,E167 ,Lys3008,56.95,E12542,1.28E+11,1.31E+06,M5230,B21941,ERS6159760,Yes,B21849,ERS6161149,No
First Screen,,Pl_259,, LNC,,,,,7.00E+07,1.12E+06,M5231,B21942,ERS6159761,No,B21850,ERS6161150; ERS6161509,No
First Screen,East SE,Pl_259,12.3,SP7488,E168 ,Lys3009,83.4,E12545,9.04E+10,1.12E+06,M5235,B21943,ERS6159762,Yes,B21851,ERS6161151; ERS6161510,No
First Screen,East SE,Pl_259,14,SP7489,E169 ,Lys3010,94.6,E12546,2.92E+11,4.48E+05,M5236,B21944,ERS6159763,Yes,B21852,ERS6161152; ERS6161511,No
First Screen,East SE,Pl_259,14,SP7490,E170 ,Lys3011,73.4,E12547,3.94E+11,7.48E+05,M5237,B21945,ERS6159764,Yes,B21853,ERS6161153; ERS6161512,No
First Screen,East SE,Pl_259,13/14,SP7491,E171 ,Lys3012,51.8,E12548,1.54E+11,1.16E+06,M5238,B21946,ERS6159765,Yes,B21854,ERS6161154; ERS6161513,No
First Screen,East SE,Pl_259,13,SP7492,E172 ,Lys3013,61.6,E12549,1.75E+11,1.28E+06,M5239,B21947,ERS6159766,Yes,B21855,ERS6161155,No
First Screen,East SE,Pl_259,13,SP7493,E173 ,Lys3014,98,E12550,1.93E+11,1.37E+06,M5240,B21948,ERS6159767,Yes,B21856,ERS6161156; ERS6161514,No
First Screen,East SE,Pl_259,12.3,SP7494,E174 ,Lys3015,54.1,E12551,1.38E+11,1.40E+06,M5241,B21949,ERS6159768,Yes,B21857,ERS6161157; ERS6161515,No
First Screen,,Pl_259,,ENC,,,,E12552,6.41E+07,1.23E+06,M5242,B21950,ERS6159769,No,B21858,ERS6161158; ERS6161516,No
First Screen,East SE,Pl_259,12.3,SP7495,E175 ,Lys3017,89.5,E12553,4.47E+10,1.16E+06,M5243,B21951,ERS6159770,Yes,B21859,ERS6161159,No
First Screen,East SE,Pl_259,12.3,SP7496,E176 ,Lys3018,98.2,E12554,2.97E+11,1.08E+06,M5244,B21952,ERS6159771,Yes,B21861,ERS6161160; ERS6161517,No
First Screen,East SE,Pl_259,12.3,SP7497,E177 ,Lys3019,52.35,E12555,1.26E+11,1.05E+06,M5245,B21953,ERS6159772,Yes,B21862,ERS6161161,No
First Screen,East SE,Pl_259,12.3,SP7498,E178 ,Lys3020,83.5,E12556,2.24E+11,1.27E+06,M5246,B21954,ERS6159773,Yes,B21863,ERS6161162; ERS6161518,No
First Screen,East SE,Pl_259,14,SP7499,E179 ,Lys3021,62.1,E12557,1.47E+11,1.28E+06,M5247,B21956,ERS6159774,Yes,B21864,ERS6161163; ERS6161519,No
First Screen,East SE,Pl_259,14,SP7500,E180 ,Lys3022,62.65,E12558,3.06E+11,1.36E+06,M5248,B21957,ERS6159775,Yes,B21865,ERS6161164; ERS6161520,No
First Screen,East SE,Pl_259,13,SP7501,E181 ,Lys3023,62.8,E12559,2.15E+11,1.41E+06,M5249,B21959,ERS6159776,Yes,B21866,ERS6161165; ERS6161521,No
First Screen,East SE,Pl_259,13,SP7502,E182 ,Lys3024,30.3,E12560,1.57E+11,1.27E+06,M5250,B21960,ERS6159777,Yes,B21867,ERS6161166; ERS6161522,No
First Screen,East SE,Pl_259,13,SP7503,E183 ,Lys3025,48,E12561,1.83E+11,1.17E+06,M5251,B21961,ERS6159778,Yes,B21868,ERS6161167; ERS6161523,No
First Screen,East SE,Pl_259, 12.3/13,SP7504,E184 ,Lys3026,29.4,E12562,1.13E+11,1.15E+06,M5252,B21962,ERS6159779,Yes,B21869,ERS6161168,No
First Screen,East SE,Pl_259,12.3,SP7505,E185 ,Lys3027,0,E12563,1.16E+11,1.02E+06,M5253,B21963,ERS6159780,Yes,B21871,ERS6161169; ERS6161524,No
First Screen,East SE,Pl_259,12.3,SP7506,E186 ,Lys3028,94.8,E12564,7.98E+10,1.07E+06,M5254,B21964,ERS6159781,Yes,B21872,ERS6161170; ERS6161525,Yes
First Screen,,Pl_259,, LNC,,,,,7.82E+07,1.32E+06,M5255,B21965,ERS6159782,No,B21873,ERS6161171; ERS6161526,No
First Screen,East SE,Pl_259,12.3,SP7507,E187 ,Lys3029,53.65,E12567,8.27E+10,1.02E+06,M5260,B21966,ERS6159783,Yes,B21874,ERS6161172; ERS6161527,No
First Screen,East SE,Pl_259,12.3,SP7508,E188 ,Lys3030,32.8,E12568,5.94E+10,7.50E+05,M5261,B21967,ERS6159784,Yes,B21875,ERS6161173,No
First Screen,East SE,Pl_259,14,SP7509,E189 ,Lys3031,31.3,E12569,1.23E+11,7.94E+05,M5262,B21968,ERS6159785,Yes,B21876,ERS6161174; ERS6161528,No
First Screen,East SE,Pl_259,14,SP7510,E190 ,Lys3032,62.6,E12570,5.00E+11,1.21E+06,M5263,B21969,ERS6159786,Yes,B21877,ERS6161175; ERS6161529,No
First Screen,East SE,Pl_259,13/14,SP7511,E191 ,Lys3033,58,E12571,2.49E+11,1.34E+06,M5264,B21970,ERS6159787,Yes,B21878,ERS6161176; ERS6161530,No
First Screen,East SE,Pl_259,13,SP7512,E192 ,Lys3034,62.1,E12572,1.61E+11,1.32E+06,M5265,B21971,ERS6159788,Yes,B21879,ERS6161177; ERS6161531,No
First Screen,East SE,Pl_259,13,SP7513,E193 ,Lys3035,85.2,E12573,2.48E+11,1.24E+06,M5266,B21972,ERS6159789,Yes,B21880,ERS6161178; ERS6161532,No
First Screen,East SE,Pl_259,13,SP7514,E194 ,Lys3036,78.1,E12574,3.00E+11,8.61E+05,M5267,B21973,ERS6159790,Yes,B21881,ERS6161179,No
First Screen,,Pl_259,,ENC,,,,E12575,6.11E+07,7.75E+05,M5268,B21974,ERS6159791,No,B21882,ERS6161180; ERS6161533,No
First Screen,East SE,Pl_259,13,SP7515,E195 ,Lys3038,76.4,E12576,9.91E+10,9.60E+05,M5269,B21976,ERS6159792,Yes,B21883,ERS6161181,No
First Screen,East SE,Pl_259,12.3,SP7516,E196 ,Lys3039,32.5,E12577,5.03E+10,1.02E+06,M5270,B21977,ERS6159793,Yes,B21884,ERS6161182,No
First Screen,East SE,Pl_259,12.3,SP7517,E197 ,Lys3040,114,E12578,1.38E+11,1.16E+06,M5271,B21978,ERS6159794,Yes,B21885,ERS6161183; ERS6161534,Yes
First Screen,East SE,Pl_259,12.3,SP7518,E198 ,Lys3041,50.95,E12579,9.75E+10,1.46E+06,M5272,B21979,ERS6159795,Yes,B21886,ERS6161184,No
First Screen,East SE,Pl_259,12.2,SP7519,E199 ,Lys3042,75.2,E12580,7.81E+10,1.42E+06,M5273,B21980,ERS6159796,Yes,B21888,ERS6161185; ERS6161535,No
First Screen,East SE,Pl_259,12.2,SP7520,E200 ,Lys3043,44.9,E12581,1.50E+11,9.02E+05,M5274,B21981,ERS6159797,Yes,B21889,ERS6161186; ERS6161536,Yes
First Screen,East SE,Pl_259,12.1,SP7521,E201 ,Lys3044,82.1,E12582,1.53E+11,6.81E+05,M5275,B21982,ERS6159798,Yes,B21890,ERS6161187; ERS6161537,Yes
First Screen,East SE,Pl_259,11.4,SP7522,E202 ,Lys3045,50.5,E12583,7.62E+10,7.58E+05,M5276,B21983,ERS6159799,Yes,B21891,ERS6161188; ERS6161538,Yes
First Screen,East SE,Pl_259,11.4,SP7523,E203 ,Lys3046,43,E12584,2.67E+10,1.88E+04,M5277,B21984,ERS6159800,Yes,B21892,ERS6161189,No
First Screen,East SE,Pl_259,11.3,SP7524,E204 ,Lys3047,53.1,E12585,8.10E+10,4.33E+05,M5278,B21985,ERS6159801,Yes,B21893,ERS6161190; ERS6161539,No
First Screen,,Pl_259,, LNC,,,,,7.30E+07,1.10E+06,M5279,B21986,ERS6159802,No,B21894,ERS6161191; ERS6161540,No
First Screen,East SE,Pl_259,12.3,SP7525,E205 ,Lys3048,51.8,E12588,7.69E+10,1.31E+06,M5283,B21987,ERS6159803,Yes,B21895,ERS6161192; ERS6161541,No
First Screen,East SE,Pl_259,12.2,SP7526,E206 ,Lys3049,59.1,E12589,2.88E+11,6.77E+05,M5284,B21988,ERS6159804,Yes,B21896,ERS6161193; ERS6161542,Yes
First Screen,East SE,Pl_259,12.1,SP7527,E207 ,Lys3050,36.2,E12590,7.61E+10,9.44E+05,M5285,B21989,ERS6159805,Yes,B21897,ERS6161194; ERS6161543,Yes
First Screen,East SE,Pl_259,11.4,SP7528,E208 ,Lys3051,65.1,E12591,7.59E+10,9.59E+05,M5286,B21990,ERS6159806,Yes,B21900,ERS6161195; ERS6161544,Yes
First Screen,East SE,Pl_259,11.3,SP7529,E209 ,Lys3052,52.4,E12592,1.88E+10,1.89E+04,M5287,B21991,ERS6159807,Yes,B21901,ERS6161196,Yes
First Screen,East SE,Pl_259,11.3,SP7530,E210 ,Lys3053,93.7,E12593,4.46E+10,6.32E+05,M5288,B21993,ERS6159808,Yes,B21902,ERS6161197; ERS6161545,No
First Screen,East SE,Pl_259,12.3,SP7531,E211 ,Lys3054,60.5,E12594,1.39E+11,1.36E+06,M5289,B21996,ERS6159809,Yes,B21903,ERS6161198; ERS6161546,No
First Screen,East SE,Pl_259,12.1/12.2,SP7532,E212 ,Lys3055,90.2,E12595,2.95E+11,1.16E+06,M5290,B21997,ERS6159810,Yes,B21905,ERS6161199; ERS6161547,Yes
First Screen,East SE,Pl_259,11.4/12.1,SP7533,E213 ,Lys3056,70.4,E12596,6.99E+10,1.03E+06,M5291,B21998,ERS6159811,Yes,B21906,ERS6161200; ERS6161548,Yes
First Screen,,Pl_259,,ENC,,,,E12597,6.79E+07,1.08E+06,M5292,B21999,ERS6159812,No,B21907,ERS6161201; ERS6161549,No
First Screen,East SE,Pl_259,11.4,SP7534,E214 ,Lys3058,36.9,E12598,7.74E+10,7.56E+05,M5293,B22000,ERS6159813,Yes,B21908,ERS6161202; ERS6161550,Yes
First Screen,East SE,Pl_259,11.3,SP7535,E215 ,Lys3059,48,E12599,7.71E+10,3.20E+05,M5294,B22001,ERS6159814,Yes,B21909,ERS6161203; ERS6161551,Yes
First Screen,East SE,Pl_259,11.3,SP7536,E216 ,Lys3060,31.4,E12600,2.03E+11,1.12E+06,M5295,B22002,ERS6159815,Yes,B21910,ERS6161204; ERS6161552,No
First Screen,East SE,Pl_259,12.3,SP7537,E217 ,Lys3061,60.1,E12601,1.30E+11,1.44E+06,M5296,B22003,ERS6159816,Yes,B21911,ERS6161205,No
First Screen,East SE,Pl_259,12.1,SP7538,E218 ,Lys3062,55.2,E12602,1.21E+11,1.54E+06,M5297,B22004,ERS6159817,Yes,B21912,ERS6161206; ERS6161553,Yes
First Screen,East SE,Pl_259,11.4,SP7539,E219 ,Lys3063,77.1,E12603,2.08E+10,9.13E+05,M5298,B22005,ERS6159818,Yes,B21913,ERS6161207; ERS6161554,Yes
First Screen,East SE,Pl_259,11.4,SP7540,E220 ,Lys3064,40.9,E12604,3.71E+10,3.43E+04,M5299,B22006,ERS6159819,Yes,B21914,ERS6161208,No
First Screen,East SE,Pl_259,11.3,SP7541,E221 ,Lys3065,53.8,E12605,2.96E+11,6.72E+05,M5300,B22007,ERS6159820,Yes,B21915,ERS6161209; ERS6161555,Yes
First Screen,East SE,Pl_259,11.3,SP7542,E222 ,Lys3066,30.8,E12606,9.89E+10,3.85E+05,M5301,B22008,ERS6159821,Yes,B21916,ERS6161210; ERS6161556,Yes
First Screen,East SE,Pl_259,12.3,SP7543,E223 ,Lys3067,91,E12607,3.97E+11,1.38E+06,M5302,B22010,ERS6159822,Yes,B21917,ERS6161211; ERS6161557,No
First Screen,,Pl_259,, LNC,,,,,7.50E+07,9.81E+05,M5303,B22011,ERS6159823,No,B21918,ERS6161212;ERS6161558,No
First Screen,East SE,Pl_259,12.1/12.3,SP7544,E224 ,Lys3068,51.4,E12611,1.03E+11,1.22E+06,M5308,B22012,ERS6159824,Yes,B21919,ERS6161213; ERS6161559,No
First Screen,East SE,Pl_259,11.4,SP7545,E225 ,Lys3069,68.45,E12612,1.25E+11,1.03E+06,M5309,B22013,ERS6159825,Yes,B21920,ERS6161214; ERS6161560,Yes
First Screen,,Pl_259,,ENC,,,,E12613,7.06E+07,1.12E+06,M5310,B22014,ERS6159826,No,B21922,ERS6161215,No
First Screen,East SE,Pl_260,11.3,SP7546,E226 ,Lys3071,60.9,E12614,3.36E+11,7.36E+05,M5409,B23541,ERS6159827,Yes,B23456,ERS6161216; ERS6161561,Yes
First Screen,East SE,Pl_260,11.3,SP7547,E227 ,Lys3072,82.6,E12615,2.11E+11,4.67E+05,M5410,B23542,ERS6159828,Yes,B23457,ERS6161217; ERS6161562,Yes
First Screen,East SE,Pl_260,11.3,SP7548,E228 ,Lys3073,75.4,E12616,4.24E+11,8.74E+05,M5411,B23543,ERS6159829,Yes,B23458,ERS6161218; ERS6161563,No
First Screen,,Pl_260,,ENC,,,,E12617,7.67E+07,1.54E+06,M5412,B23544,ERS6159830,No,B23461,ERS6161219; ERS6161564,No
First Screen,East SE,Pl_260,11.3,SP7549,E229 ,Lys3075,42.9,E12618,3.31E+11,1.47E+07,M5413,B23545,ERS6159831,Yes,B23462,ERS6161220; ERS6161565,Yes
First Screen,East SE,Pl_260,11.2,SP7550,E230 ,Lys3076,60.1,E12619,5.24E+11,1.46E+06,M5414,B23546,ERS6159832,Yes,B23463,ERS6161221; ERS6161566,Yes
First Screen,East SE,Pl_260,11.2,SP7551,E231 ,Lys3077,49.1,E12620,3.35E+11,1.47E+06,M5415,B23547,ERS6159833,Yes,B23464,ERS6161222,No
First Screen,East SE,Pl_260,11.2,SP7552,E232 ,Lys3078,46.5,E12621,5.23E+11,1.60E+06,M5416,B23548,ERS6159834,Yes,B23465,ERS6161223,No
First Screen,East SE,Pl_260,11.2,SP7553,E233 ,Lys3079,36.8,E12622,4.28E+11,1.47E+06,M5417,B23549,ERS6159835,Yes,B23466,ERS6161224; ERS6161567,No
First Screen,East SE,Pl_260,11.1/11.2,SP7554,E234 ,Lys3080,88.2,E12623,5.89E+11,1.43E+06,M5418,B23550,ERS6159836,Yes,B23467,ERS6161225; ERS6161568,Yes
First Screen,,Pl_260,, LNC,,,,,9.15E+07,1.41E+06,M5419,B23551,ERS6159837,No,B23468,ERS6161226; ERS6161569,No
First Screen,East SE,Pl_260,11.1,SP7555,E235 ,Lys3081,91.6,E12626,1.40E+11,1.25E+06,M5423,B23552,ERS6159838,Yes,B23469,ERS6161227,No
First Screen,East SE,Pl_260,11.2,SP7556,E236 ,Lys3082,50.4,E12627,4.67E+11,1.42E+06,M5424,B23553,ERS6159839,Yes,B23470,ERS6161228; ERS6161570,No
First Screen,East SE,Pl_260,11.2,SP7557,E237 ,Lys3083,82.9,E12628,4.59E+11,1.42E+06,M5425,B23554,ERS6159840,Yes,B23471,ERS6161229; ERS6161571,Yes
First Screen,East SE,Pl_260,11.2,SP7558,E238 ,Lys3084,47.1,E12629,3.29E+11,1.36E+06,M5426,B23557,ERS6159841,Yes,B23472,ERS6161230; ERS6161572,Yes
First Screen,East SE,Pl_260,11.2,SP7559,E239 ,Lys3085,75.6,E12630,6.09E+11,1.40E+06,M5427,B23558,ERS6159842,Yes,B23473,ERS6161231; ERS6161573,Yes
First Screen,East SE,Pl_260,11.2,SP7560,E240 ,Lys3086,44.1,E12631,2.97E+11,1.38E+06,M5428,B23559,ERS6159843,Yes,B23474,ERS6161232; ERS6161574,No
First Screen,East SE,Pl_260,11.1,SP7561,E241 ,Lys3087,75.3,E12632,2.96E+11,1.36E+06,M5429,B23560,ERS6159844,Yes,B23475,ERS6161233; ERS6161575,No
First Screen,East SE,Pl_260,11.1,SP7562,E242 ,Lys3088,55.1,E12633,2.63E+11,1.44E+06,M5430,B23561,ERS6159845,Yes,B23476,ERS6161234; ERS6161576,No
First Screen,East SE,Pl_260,11.2,SP7563,E243 ,Lys3089,69.2,E12634,2.70E+11,1.23E+06,M5431,B23562,ERS6159846,Yes,B23477,ERS6161235; ERS6161577,No
First Screen,East SE,Pl_260,11.2,SP7564,E244 ,Lys3090,56.6,E12635,2.82E+11,1.16E+06,M5432,B23563,ERS6159847,Yes,B23478,ERS6161236; ERS6161578,Yes
First Screen,East SE,Pl_260,11.2,SP7565,E245 ,Lys3091,56,E12636,4.33E+11,1.27E+06,M5433,B23564,ERS6159848,Yes,B23479,ERS6161237; ERS6161579,No
First Screen,East SE,Pl_260,11.2,SP7566,E246 ,Lys3092,51.2,E12637,2.78E+11,1.22E+06,M5434,B23565,ERS6159849,Yes,B23480,ERS6161238; ERS6161580,No
First Screen,East SE,Pl_260,11.2,SP7567,E247 ,Lys3093,87.5,E12638,2.44E+11,7.81E+05,M5435,B23566,ERS6159850,Yes,B23481,ERS6161239; ERS6161581,Yes
First Screen,,Pl_260,,ENC,,,,E12639,8.41E+07,1.33E+06,M5436,B23567,ERS6159851,No,B23482,ERS6161240; ERS6161582,No
First Screen,East SE,Pl_260,11.1,SP7568,E248 ,Lys3095,76.2,E12640,3.30E+11,1.30E+06,M5437,B23568,ERS6159852,Yes,B23483,ERS6161241; ERS6161583,No
First Screen,East SE,Pl_260,11.1,SP7569,E249 ,Lys3096,72.4,E12641,3.38E+11,1.38E+06,M5438,B23569,ERS6159853,Yes,B23484,ERS6161242; ERS6161584,Yes
First Screen,East SE,Pl_260,11.2,SP7570,E250 ,Lys3097,55.1,E12642,3.09E+11,9.63E+05,M5439,B23570,ERS6159854,Yes,B23485,ERS6161243; ERS6161585,Yes
First Screen,East SE,Pl_260,11.2,SP7571,E251 ,Lys3098,52.45,E12643,3.54E+11,8.64E+05,M5440,B23571,ERS6159855,Yes,B23486,ERS6161244; ERS6161586,Yes
First Screen,East SE,Pl_260,11.2,SP7572,E252 ,Lys3099,85,E12644,3.24E+11,5.85E+05,M5441,B23572,ERS6159856,Yes,B23487,ERS6161245; ERS6161587,Yes
First Screen,East SE,Pl_260,11.1/11.2,SP7573,E253 ,Lys3100,70.9,E12645,4.50E+11,1.34E+06,M5442,B23573,ERS6159857,Yes,B23488,ERS6161246; ERS6161588,Yes
First Screen,,Pl_260,, LNC,,,,,9.83E+07,1.41E+06,M5443,B23574,ERS6159858,No,B23489,ERS6161247; ERS6161589,No
First Screen,East SE,Pl_260,11.1,SP7574,E254 ,Lys3101,94.5,E12648,3.16E+11,9.46E+05,M5448,B23575,ERS6159859,Yes,B23490,ERS6161248; ERS6161590,Yes
First Screen,East SE,Pl_260,11.2,SP7575,E255 ,Lys3102,65.5,E12649,2.02E+11,1.29E+06,M5449,B23576,ERS6159860,Yes,B23491,ERS6161249; ERS6161591,No
First Screen,East SE,Pl_260,11.2,SP7576,E256 ,Lys3103,84.1,E12650,1.57E+11,9.96E+05,M5450,B23577,ERS6159861,Yes,B23492,ERS6161250; ERS6161592,Yes
First Screen,East SE,Pl_260,11.2,SP7577,E257 ,Lys3104,90.7,E12651,6.66E+10,1.42E+06,M5451,B23578,ERS6159862,Yes,B23493,ERS6161251,No
First Screen,East SE,Pl_260,11.2,SP7578,E258 ,Lys3105,53.9,E12652,2.67E+11,9.92E+05,M5452,B23579,ERS6159863,Yes,B23496,ERS6161252; ERS6161593,Yes
First Screen,,Pl_260,,ENC,,,,E12653,7.93E+07,9.87E+05,M5453,B23580,ERS6159864,No,B23497,ERS6161253; ERS6161594,No
First Screen,,Pl_260,,LNC,,,,,7.73E+07,9.19E+05,M5470,B23598,ERS6159865,No,B23513,ERS6161254,No
First Screen,,Pl_260,, ENC,,,,E12680,8.74E+07,1.20E+06,M5482,B23608,ERS6159866,No,B23523,ERS6161255,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7126,S2 ,Lys2621,58.1,E12972,4.82E+09,1.95E+05,M5604,B22596,ERS6159867,No,B22507,ERS6161256,No
First Screen,South SE_upper,Pl_261,pdd-9,SP7127,S3 ,Lys2622,60,E12973,1.01E+10,1.75E+06,M5605,B22597,ERS6159868,No,B22508,ERS6161257,No
First Screen,,Pl_261,,ENC,,,,E12974,1.05E+08,1.78E+06,M5606,B22598,ERS6159869,No,B22509,ERS6161258,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7128,S4 ,Lys2624,59.1,E12975,6.08E+09,1.17E+06,M5607,B22599,ERS6159870,No,B22510,ERS6161259,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7129,S5 ,Lys2625,70.1,E12976,1.61E+10,9.91E+05,M5608,B22600,ERS6159871,No,B22511,ERS6161260,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7130,S6 ,Lys2626,74.5,E12977,5.53E+10,7.11E+05,M5609,B22601,ERS6159872,Yes,B22512,ERS6161261,No
First Screen,South SE_upper,Pl_261,pdd-9,SP7131,S7 ,Lys2627,84.3,E12978,1.33E+10,1.59E+06,M5610,B22602,ERS6159873,No,B22513,ERS6161262,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7132,S8 ,Lys2628,60.2,E12979,4.28E+09,3.81E+05,M5611,B22603,ERS6159874,No,B22514,ERS6161263,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7133,S9 ,Lys2629,64.7,E12980,4.69E+09,3.35E+05,M5612,B22604,ERS6159875,No,B22515,ERS6161264,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7134,S10 ,Lys2630,67.5,E12981,4.20E+10,1.15E+06,M5613,B22605,ERS6159876,Yes,B22516,ERS6161265,No
First Screen,South SE_upper,Pl_261,pdd-9,SP7135,S11 ,Lys2631,73.4,E12982,1.94E+10,1.48E+06,M5614,B22606,ERS6159877,No,B22517,ERS6161266,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7136,S12 ,Lys2632,55.3,E12983,7.62E+09,6.90E+05,M5615,B22607,ERS6159878,No,B22518,ERS6161267,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7137,S13 ,Lys2633,83.8,E12984,8.48E+09,3.77E+05,M5616,B22608,ERS6159879,No,B22519,ERS6161268,No
First Screen,South SE_upper,Pl_261,pdd-9,SP7138,S14 ,Lys2634,83.1,E12985,1.70E+10,1.14E+06,M5617,B22609,ERS6159880,No,B22520,ERS6161269,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7139,S15 ,Lys2635,83.3,E12986,6.52E+09,3.81E+05,M5618,B22610,ERS6159881,No,B22521,ERS6161270,No
First Screen,,Pl_261,, LNC,,,,,9.27E+07,1.50E+06,M5619,B22611,ERS6159882,No,B22522,ERS6161271,No
First Screen,,Pl_261,, ENC,,,,E12988,9.89E+07,2.10E+06,M5622,B22612,ERS6159883,No,B22523,ERS6161272,No
First Screen,South SE_upper,Pl_261,pdd-12,SP7140,S16 ,Lys2636,96.2,E12989,4.71E+09,2.07E+05,M5623,B22613,ERS6159884,No,B22524,ERS6161273,No
