RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	SpeciesKmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	MeanFragmentLength	MeanFragmentLength(3term)	Coverage	Breadth	ExpectedBreadth	ProportionExpectedBreadth
Cap.E.7048	291860	289473	197945	23	0.002964	19.7	f	100	Carnivora	Herpestidae	Suricata_suricatta	best	68	0.6800	53	1.2830	219	53	219	0.23	+	5	6	40.0 (12.2,73.8)	50.0 (1.3,98.7)	N/A (N/A,N/A)	N/A (N/A,N/A)	47.2	46.0	0.14	0.012	0.122	0.106
Cap.E.7048	291860	289473	197945	23	0.04259	6.52	f	713	Artiodactyla	Cervidae	Cervus_canadensis_songaricus	best	455	0.6381	344	1.3226	1787	344	1787	1.55	++	50	84	48.6 (36.4,60.8)	20.0 (12.1,30.1)	25.0 (0.6,80.6)	11.1 (0.3,48.2)	49.9	48.4	1.04	0.108	0.6	0.181
Cap.E.7048	291860	289473	197945	24	0.02057	1.88	f	5546	Artiodactyla	Bovidae	Ovis_ammon_ammon	best	3994	0.7201	3045	1.3116	4247	2833	4079	12.77	++	352	587	36.9 (33.1,40.9)	19.3 (16.4,22.4)	29.4 (10.3,56.0)	13.5 (4.5,28.8)	55.5	54.8	10.15	0.255	0.999	0.255
Cap.E.7048	291860	289473	197945	255	0.08004	5.23	f	1504	Perissodactyla	Equidae	Equus_ovodovi	best	1438	0.9561	1130	1.2725	3353	1126	3278	5.07	++	155	257	38.5 (32.8,44.6)	20.3 (15.8,25.3)	47.8 (26.8,69.4)	36.7 (19.9,56.1)	51.9	51.5	3.57	0.204	0.957	0.213
Cap.E.7048	291860	289473	197945	26	0.002483	17.0	f	85	Rodentia	Spalacidae	Rhizomys_sinensis	best	13	0.1529	11	1.1818	175	11	175	0.04	-	1	5	50.0 (1.3,98.7)	0.0 (0.0,70.8)	N/A (N/A,N/A)	N/A (N/A,N/A)	44.0	43.8	0.02	0.01	0.025	0.415
Cap.E.7048	291860	289473	197945	31	0.003067	7.55	f	123	Chiroptera	Phyllostomidae	Rhinophylla_pumilio	best	66	0.5365	51	1.2941	431	50	396	0.22	++	8	17	38.5 (13.9,68.4)	33.3 (9.9,65.1)	100.0 (2.5,100.0)	50.0 (1.3,98.7)	48.4	44.9	0.14	0.025	0.121	0.211
Cap.E.7048	291860	289473	197945	37	0.006382	6.73	f	579	Carnivora	Felidae	Panthera_uncia	best	361	0.6234	282	1.2801	1533	278	1402	1.25	++	54	102	47.4 (34.0,61.0)	35.0 (24.7,46.5)	25.0 (0.6,80.6)	12.5 (0.3,52.7)	54.6	52.2	0.91	0.091	0.554	0.164
Cap.E.7048	291860	289473	197945	41	0.004726	63.7	f	639	Rodentia	Cricetidae	Ondatra_zibethicus	best	378	0.5915	289	1.3079	808	289	808	1.30	+	34	67	46.6 (33.3,60.1)	12.5 (5.2,24.1)	0.0 (0.0,97.5)	0.0 (0.0,60.2)	48.2	46.4	0.85	0.049	0.528	0.093
Cap.E.7048	291860	289473	197945	49	0.006441	5.65	f	149	Carnivora	Viverridae	Arctictis_binturong	best	81	0.5436	67	1.2089	561	67	561	0.30	+	12	24	55.0 (31.5,76.9)	5.9 (0.1,28.7)	N/A (N/A,N/A)	0.0 (0.0,60.2)	53.9	50.5	0.21	0.033	0.175	0.193
Cap.E.7048	291860	289473	197945	5	0.001749	3.4	f	293	Carnivora	Canidae	Canis_lupus_chanco	best	231	0.7883	187	1.2352	1669	185	1667	0.83	++	34	53	44.0 (30.0,58.7)	31.2 (18.7,46.3)	50.0 (11.8,88.2)	50.0 (11.8,88.2)	50.8	49.5	0.56	0.099	0.392	0.253
Cap.E.7048	291860	289473	197945	510	0.07255	6.5	f	864	Perissodactyla	Rhinocerotidae	Coelodonta_antiquitatis	best	806	0.9328	661	1.2193	2934	659	2926	2.97	++	97	151	34.2 (26.8,42.2)	27.7 (21.1,35.2)	20.0 (2.5,55.6)	13.3 (1.7,40.5)	52.9	54.0	2.13	0.178	0.847	0.21
Cap.E.7048	291860	289473	197945	6	0.001219	2.0	f	103	Chiroptera	Pteropodidae	Pteropus_ornatus	best	21	0.2038	17	1.2352	457	15	356	0.06	-	2	5	66.7 (9.4,99.2)	0.0 (0.0,70.8)	N/A (N/A,N/A)	N/A (N/A,N/A)	53.5	46.8	0.05	0.027	0.046	0.587
Cap.E.7048	291860	289473	197945	61	0.01796	1.8	f	260	Carnivora	Ursidae	Ursus_arctos	best	129	0.4961	104	1.2403	1524	97	1371	0.43	++	19	30	25.0 (9.8,46.7)	48.1 (28.7,68.1)	0.0 (0.0,70.8)	N/A (N/A,N/A)	51.0	51.9	0.31	0.089	0.24	0.371
Cap.E.7048	291860	289473	197945	8	0.001052	1.0	f	676	Chiroptera	Vespertilionidae	Myotis_martiniquensis	best	206	0.3047	153	1.3464	743	148	691	0.66	+	16	52	35.7 (18.6,55.9)	21.4 (8.3,41.0)	N/A (N/A,N/A)	0.0 (0.0,84.2)	44.6	43.2	0.39	0.043	0.295	0.146
Cap.E.7049	238126	236214	131093	10	0.01008	4.1	f	2161	Artiodactyla	Cervidae	Cervus_nippon_hortulorum	best	1680	0.7774	1185	1.4177	2585	1178	2492	9.25	++	190	317	44.5 (38.3,50.8)	29.7 (24.5,35.4)	53.3 (26.6,78.7)	33.3 (15.6,55.3)	50.6	49.6	3.64	0.157	0.96	0.163
Cap.E.7049	238126	236214	131093	124	0.06288	12.6	f	3597	Artiodactyla	Bovidae	Bison_schoetensacki	best	3177	0.8832	2299	1.3819	4268	2141	4181	16.82	++	422	607	44.5 (40.5,48.5)	31.3 (27.5,35.4)	42.9 (29.7,56.8)	34.8 (23.7,47.2)	51.3	52.0	7.21	0.261	0.998	0.261
Cap.E.7049	238126	236214	131093	14	0.001779	2.5	f	376	Primates	Cercopithecidae	Macaca_sylvanus	best	149	0.3962	115	1.2956	670	109	646	0.85	++	35	48	50.0 (30.6,69.4)	57.9 (40.8,73.7)	25.0 (0.6,80.6)	25.0 (0.6,80.6)	47.5	48.4	0.33	0.04	0.253	0.159
Cap.E.7049	238126	236214	131093	15	0.01286	2.4	f	893	Proboscidea	Elephantidae	Mammuthus_primigenius	best	856	0.9585	595	1.4386	1628	595	1628	4.67	++	110	173	44.4 (35.9,53.2)	37.3 (29.6,45.4)	46.7 (21.3,73.4)	33.3 (14.6,57.0)	48.2	49.5	1.7	0.097	0.779	0.124
Cap.E.7049	238126	236214	131093	175	0.05493	5.21	f	912	Perissodactyla	Equidae	Equus_ovodovi	best	875	0.9594	632	1.3844	2597	630	2510	4.95	++	155	225	53.6 (46.0,61.1)	34.4 (27.7,41.6)	46.7 (21.3,73.4)	18.9 (8.0,35.2)	49.2	49.9	1.89	0.158	0.812	0.194
