RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	SpeciesKmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	MeanFragmentLength	MeanFragmentLength(3term)	Coverage	Breadth	ExpectedBreadth	ProportionExpectedBreadth
hyaena_1000_human_7	2499625	2499625	2499625	32	0.002658	67.3	f	428	Rodentia	Laonastidae	Laonastes_aenigmamus	best	128	0.2990	38	3.3684	271	38	271	0.08	-	3	5	11.1 (0.3,48.2)	33.3 (4.3,77.7)	N/A (N/A,N/A)	0.0 (0.0,97.5)	40.1	43.0	0.09	0.016	0.078	0.21
hyaena_1000_human_7	2499625	2499625	2499625	32	0.005464	25.2	f	2077	Artiodactyla	Ziphiidae	Mesoplodon_mirus	best	530	0.2551	133	3.9849	823	124	820	0.28	-	4	11	7.4 (0.9,24.3)	8.3 (1.0,27.0)	N/A (N/A,N/A)	0.0 (0.0,97.5)	44.0	41.9	0.35	0.05	0.271	0.185
hyaena_1000_human_7	2499625	2499625	2499625	32	0.006221	44.1	f	508	Primates	Lorisidae	Loris_lydekkerianus	best	139	0.2736	57	2.4385	460	56	424	0.12	-	6	11	6.7 (0.2,31.9)	22.7 (7.8,45.4)	0.0 (0.0,97.5)	0.0 (0.0,97.5)	42.5	40.2	0.14	0.027	0.119	0.229
hyaena_1000_human_7	2499625	2499625	2499625	33	0.002743	239.0	f	344	Diprotodontia	Phascolarctidae	Phascolarctos_cinereus	best	219	0.6366	46	4.7608	196	46	196	0.10	-	0	0	0.0 (0.0,30.8)	0.0 (0.0,97.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	40.2	N/A	0.11	0.011	0.094	0.126
hyaena_1000_human_7	2499625	2499625	2499625	34	0.0231	171.0	f	31688	Carnivora	Felidae	Panthera_tigris_amoyensis	best	11575	0.3652	1852	6.2500	6308	1813	6149	4.10	++	100	248	12.9 (9.7,16.6)	13.5 (10.2,17.3)	16.7 (2.1,48.4)	16.7 (2.1,48.4)	46.4	46.1	5.06	0.371	0.988	0.375
hyaena_1000_human_7	2499625	2499625	2499625	35	0.003025	106.0	f	434	Rodentia	Thryonomyidae	Thryonomys_swinderianus	best	248	0.5714	51	4.8627	190	51	190	0.11	-	7	12	23.1 (5.0,53.8)	20.0 (5.7,43.7)	0.0 (0.0,97.5)	0.0 (0.0,97.5)	46.9	45.0	0.14	0.011	0.119	0.095
hyaena_1000_human_7	2499625	2499625	2499625	35	0.003654	55.4	f	365	Rodentia	Octodontidae	Octodon_degus	best	47	0.1287	29	1.6206	218	29	218	0.06	-	1	1	8.3 (0.2,38.5)	0.0 (0.0,84.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	41.4	43.0	0.07	0.012	0.061	0.212
hyaena_1000_human_7	2499625	2499625	2499625	35	0.003843	81.1	f	533	Chiroptera	Hipposideridae	Hipposideros_pomona	best	406	0.7617	51	7.9607	318	50	275	0.11	-	2	4	16.7 (0.4,64.1)	12.5 (0.3,52.7)	N/A (N/A,N/A)	0.0 (0.0,97.5)	43.8	44.0	0.13	0.018	0.11	0.171
hyaena_1000_human_7	2499625	2499625	2499625	36	0.002807	20.3	f	44	Monotremata	Ornithorhynchidae	Ornithorhynchus_anatinus	best	16	0.3636	10	1.6000	130	10	130	0.02	-	0	1	0.0 (0.0,97.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	39.9	40.0	0.02	0.007	0.02	0.372
hyaena_1000_human_7	2499625	2499625	2499625	36	0.005358	45.3	f	9729	Chiroptera	Vespertilionidae	Myotis_leibii	best	1732	0.1780	369	4.6937	2207	315	1995	0.71	-	16	28	17.9 (8.9,30.4)	12.2 (4.6,24.8)	0.0 (0.0,97.5)	N/A (N/A,N/A)	44.3	44.0	0.96	0.129	0.573	0.226
