#Taxa	detected	Number_of_reads	proportion_estimate	85%_confidence_interval_lower_bound	85%_confidence_interval_higher_bound	95%_confidence_interval_lower_bound	95%_confidence_interval_higher_bound
Phocidae	yes	1274	0.000843855	0.000748802	0.000952678	0.000696977	0.00102189	
Phrynocephalus	no	0	0	0	0	0	0
Phyllostomidae	yes	602	0.000398335	0.000352484	0.000448981	0.000328738	0.000480785	
Phymatidae	no	0	0	0	0	0	0
Piciformes	no	6	0	0	0	0	0
Pieridae	no	5	0	0	0	0	0
Pitheciidae	no	100	0	0	0	0	0
Platypezoidea	no	0	0	0	0	0	0
Platyrrhini	no	728	0	0	0	0	0
Plecoptera	no	10	0	0	0	0	0
Pleocyemata	no	0	0	0	0	0	0
Plethodontidae	no	87	0	0	0	0	0
Poduromorpha	no	0	0	0	0	0	0
Prioninae	no	0	0	0	0	0	0
Proboscidea	yes	117860	0.0780856	0.0697985	0.0872365	0.0652706	0.0930832	
Procellariiformes	no	0	0	0	0	0	0
Proechimys	no	205	0	0	0	0	0
Protobothrops	no	0	0	0	0	0	0
Psittaciformes	no	28	0	0	0	0	0
Psoroptidia	no	0	0	0	0	0	0
Psychodoidea	no	0	0	0	0	0	0
Pteropodidae	no	354	0	0	0	0	0
Pteropodinae	no	276	0	0	0	0	0
Pyralidae	no	3	0	0	0	0	0
Pyrgomorphoidea	no	0	0	0	0	0	0
Rana	no	3	0	0	0	0	0
Ranoidea	no	9	0	0	0	0	0
Rattus	no	417	0	0	0	0	0
Reduvioidea	no	7	0	0	0	0	0
Reticulitermes	no	1	0	0	0	0	0
Rhacophoridae	no	18	0	0	0	0	0
Rhinolophus	yes	706	0.000467303	0.000414582	0.000527865	0.000387934	0.000566906	
Rodentia	no	41	0	0	0	0	0
Ruminantia	no	187	0	0	0	0	0
Salamandridae	no	18	0	0	0	0	0
Sarcophaga	no	0	0	0	0	0	0
Saturniidae	no	0	0	0	0	0	0
Satyrini	no	0	0	0	0	0	0
Scandentia	no	162	0	0	0	0	0
Scarabaeiformia	no	0	0	0	0	0	0
Sciaroidea	no	0	0	0	0	0	0
Scincidae	no	454	0	0	0	0	0
Sciurinae	yes	185	0.000122689	0.000108719	0.000138013	0.000101376	0.00014792	
Setisura	no	0	0	0	0	0	0
Silphidae	no	0	0	0	0	0	0
Sinopodisma	no	0	0	0	0	0	0
Smerinthinae	no	0	0	0	0	0	0
Sorex	yes	332	0.000219163	0.000195237	0.000247498	0.000181463	0.000265071	
Sphenisciformes	no	28	0	0	0	0	0
Staphyliniformia	no	0	0	0	0	0	0
Stratiomyidae	no	0	0	0	0	0	0
Strepsirrhini	yes	513	0.000340029	0.00030196	0.000383044	0.000281468	0.000410871	
Sturnidae	no	30	0	0	0	0	0
Suina	yes	380775	0.252613	0.229527	0.277184	0.216853	0.291988
Sylvioidea	no	197	0	0	0	0	0
Syrphidae	no	2	0	0	0	0	0
Syrphinae	no	0	0	0	0	0	0
Tabaninae	no	0	0	0	0	0	0
Tarsiiformes	no	132	0	0	0	0	0
Tenthredinidae	no	0	0	0	0	0	0
Tephritidae	no	1	0	0	0	0	0
Termitidae	no	14	0	0	0	0	0
Termitinae	no	35	0	0	0	0	0
Testudines	no	30	0	0	0	0	0
Testudinoidea	no	111	0	0	0	0	0
Tetrigoidea	no	0	0	0	0	0	0
Tettigoniidea	no	4	0	0	0	0	0
Tettigonioidea	no	6	0	0	0	0	0
Thraupidae	no	2	0	0	0	0	0
Thripidae	no	0	0	0	0	0	0
Tinamiformes	no	20	0	0	0	0	0
Tingoidea	no	4	0	0	0	0	0
Tipuloidea	no	0	0	0	0	0	0
Tortricidae	no	0	0	0	0	0	0
Toxicofera	no	281	0	0	0	0	0
Trachypithecus	no	168	0	0	0	0	0
Turdus	no	5	0	0	0	0	0
Tylopoda	no	110	0	0	0	0	0
Typhlatya	no	0	0	0	0	0	0
Tyrannidae	no	6	0	0	0	0	0
Unipeltata	no	5	0	0	0	0	0
Ursidae	no	1772	0	0	0	0	0
Vermilingua	no	96	0	0	0	0	0
Vespoidea	no	0	0	0	0	0	0
Viperidae	no	6	0	0	0	0	0
Xanthoidea	no	0	0	0	0	0	0
Xenopus	no	100	0	0	0	0	0
Xerinae	no	239	0	0	0	0	0
Yponomeutoidea	no	0	0	0	0	0	0
Zygaenidae	no	0	0	0	0	0	0
Zygentoma	no	0	0	0	0	0	0
